Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-11 12:00,1913.60,100,1465.00,0.77,1465.00,1.47,1930.00,1.01,200.00,0.1
1,Exit Short,INTRADAY_SExit,2021-01-11 15:05,1898.95,100,1465.00,0.77,1465.00,1.47,1930.00,1.01,200.00,0.1
2,Entry Long,BUY,2021-01-12 09:35,1919.80,100,2015.00,1.05,3480.00,1.99,2015.00,1.05,1050.00,0.55
2,Exit Long,BUY_TG_HIT,2021-01-12 13:15,1939.95,100,2015.00,1.05,3480.00,1.99,2015.00,1.05,1050.00,0.55
3,Entry Short,SELL,2021-01-13 10:00,1948.50,100,1800.00,0.92,5280.00,1.74,1800.00,0.92,1280.00,0.66
3,Exit Short,SELL_TG_HIT,2021-01-13 13:45,1930.50,100,1800.00,0.92,5280.00,1.74,1800.00,0.92,1280.00,0.66
4,Entry Long,BUY,2021-01-14 09:35,1950.05,100,645.00,0.33,5925.00,0.61,1685.00,0.86,755.00,0.39
4,Exit Long,SELL,2021-01-14 14:00,1956.50,100,645.00,0.33,5925.00,0.61,1685.00,0.86,755.00,0.39
5,Entry Short,SELL,2021-01-14 14:00,1956.50,100,-340.00,-0.17,5585.00,-0.32,50.00,0.03,785.00,0.4
5,Exit Short,INTRADAY_SExit,2021-01-14 15:05,1959.90,100,-340.00,-0.17,5585.00,-0.32,50.00,0.03,785.00,0.4
6,Entry Long,BUY,2021-01-15 09:35,1961.85,100,-785.00,-0.4,4800.00,-0.74,0,0,965.00,0.49
6,Exit Long,SELL,2021-01-15 10:00,1954.00,100,-785.00,-0.4,4800.00,-0.74,0,0,965.00,0.49
7,Entry Short,SELL,2021-01-15 10:00,1954.00,100,-1550.00,-0.79,3250.00,-1.48,90.00,0.05,1765.00,0.9
7,Exit Short,BUY,2021-01-15 10:45,1969.50,100,-1550.00,-0.79,3250.00,-1.48,90.00,0.05,1765.00,0.9
8,Entry Long,BUY,2021-01-15 10:45,1969.50,100,-1290.00,-0.65,1960.00,-1.25,150.00,0.08,1400.00,0.71
8,Exit Long,SELL,2021-01-15 11:10,1956.60,100,-1290.00,-0.65,1960.00,-1.25,150.00,0.08,1400.00,0.71
9,Entry Short,SELL,2021-01-15 11:10,1956.60,100,2315.00,1.18,4275.00,2.27,2315.00,1.18,1110.00,0.57
9,Exit Short,SELL_TG_HIT,2021-01-15 14:10,1933.45,100,2315.00,1.18,4275.00,2.27,2315.00,1.18,1110.00,0.57
10,Entry Long,BUY,2021-01-18 11:20,1962.00,100,1785.00,0.91,6060.00,1.71,1800.00,0.92,700.00,0.36
10,Exit Long,BUY_TG_HIT,2021-01-18 14:00,1979.85,100,1785.00,0.91,6060.00,1.71,1800.00,0.92,700.00,0.36
11,Entry Long,BUY,2021-01-19 09:35,2013.30,100,640.00,0.32,6700.00,0.6,1770.00,0.88,95.00,0.05
11,Exit Long,SELL,2021-01-19 13:40,2019.70,100,640.00,0.32,6700.00,0.6,1770.00,0.88,95.00,0.05
12,Entry Short,SELL,2021-01-19 13:40,2019.70,100,465.00,0.23,7165.00,0.44,1620.00,0.8,530.00,0.26
12,Exit Short,INTRADAY_SExit,2021-01-19 15:05,2015.05,100,465.00,0.23,7165.00,0.44,1620.00,0.8,530.00,0.26
13,Entry Short,SELL,2021-01-20 09:35,2006.65,100,-1920.00,-0.96,5245.00,-1.79,525.00,0.26,2090.00,1.04
13,Exit Short,BUY,2021-01-20 10:50,2025.85,100,-1920.00,-0.96,5245.00,-1.79,525.00,0.26,2090.00,1.04
14,Entry Long,BUY,2021-01-20 10:50,2025.85,100,2015.00,0.99,7260.00,1.91,2215.00,1.09,670.00,0.33
14,Exit Long,BUY_TG_HIT,2021-01-20 13:10,2046.00,100,2015.00,0.99,7260.00,1.91,2215.00,1.09,670.00,0.33
15,Entry Short,SELL,2021-01-21 14:20,2107.70,100,770.00,0.37,8030.00,0.72,1070.00,0.51,930.00,0.44
15,Exit Short,INTRADAY_SExit,2021-01-21 15:05,2100.00,100,770.00,0.37,8030.00,0.72,1070.00,0.51,930.00,0.44
16,Entry Long,BUY,2021-01-22 14:05,2063.00,100,-1320.00,-0.64,6710.00,-1.22,1195.00,0.58,1395.00,0.68
16,Exit Long,INTRADAY_BExit,2021-01-22 15:05,2049.80,100,-1320.00,-0.64,6710.00,-1.22,1195.00,0.58,1395.00,0.68
17,Entry Short,SELL,2021-01-25 09:35,1988.00,100,2705.00,1.36,9415.00,2.53,2705.00,1.36,200.00,0.1
17,Exit Short,SELL_TG_HIT,2021-01-25 09:45,1960.95,100,2705.00,1.36,9415.00,2.53,2705.00,1.36,200.00,0.1
18,Entry Long,BUY,2021-01-28 09:35,1917.70,100,-2155.00,-1.12,7260.00,-1.97,405.00,0.21,2190.00,1.14
18,Exit Long,BUY_SL_HIT,2021-01-28 11:55,1896.15,100,-2155.00,-1.12,7260.00,-1.97,405.00,0.21,2190.00,1.14
19,Entry Short,SELL,2021-01-28 12:40,1892.40,100,-180.00,-0.1,7080.00,-0.17,1630.00,0.86,475.00,0.25
19,Exit Short,BUY,2021-01-28 13:30,1894.20,100,-180.00,-0.1,7080.00,-0.17,1630.00,0.86,475.00,0.25
20,Entry Long,BUY,2021-01-28 13:30,1894.20,100,-1860.00,-0.98,5220.00,-1.74,370.00,0.2,2155.00,1.14
20,Exit Long,SELL,2021-01-28 14:45,1875.60,100,-1860.00,-0.98,5220.00,-1.74,370.00,0.2,2155.00,1.14
21,Entry Short,SELL,2021-01-28 14:45,1875.60,100,-355.00,-0.19,4865.00,-0.34,560.00,0.3,430.00,0.23
21,Exit Short,INTRADAY_SExit,2021-01-28 15:05,1879.15,100,-355.00,-0.19,4865.00,-0.34,560.00,0.3,430.00,0.23
22,Entry Long,BUY,2021-01-29 09:35,1887.85,100,-1285.00,-0.68,3580.00,-1.23,1215.00,0.64,1285.00,0.68
22,Exit Long,SELL,2021-01-29 14:45,1875.00,100,-1285.00,-0.68,3580.00,-1.23,1215.00,0.64,1285.00,0.68
23,Entry Short,SELL,2021-01-29 14:45,1875.00,100,2450.00,1.31,6030.00,2.37,3370.00,1.8,100.00,0.05
23,Exit Short,INTRADAY_SExit,2021-01-29 15:05,1850.50,100,2450.00,1.31,6030.00,2.37,3370.00,1.8,100.00,0.05
24,Entry Long,BUY,2021-02-01 10:55,1867.00,100,-1160.00,-0.62,4870.00,-1.09,1100.00,0.59,1160.00,0.62
24,Exit Long,SELL,2021-02-01 12:15,1855.40,100,-1160.00,-0.62,4870.00,-1.09,1100.00,0.59,1160.00,0.62
25,Entry Short,SELL,2021-02-01 12:15,1855.40,100,-2455.00,-1.32,2415.00,-2.34,140.00,0.08,2855.00,1.54
25,Exit Short,BUY,2021-02-01 12:55,1879.95,100,-2455.00,-1.32,2415.00,-2.34,140.00,0.08,2855.00,1.54
26,Entry Long,BUY,2021-02-01 12:55,1879.95,100,1905.00,1.01,4320.00,1.86,2300.00,1.22,940.00,0.5
26,Exit Long,BUY_TG_HIT,2021-02-01 13:55,1899.00,100,1905.00,1.01,4320.00,1.86,2300.00,1.22,940.00,0.5
27,Entry Short,SELL,2021-02-02 10:15,1884.30,100,1730.00,0.92,6050.00,1.66,1930.00,1.02,220.00,0.12
27,Exit Short,SELL_TG_HIT,2021-02-02 10:50,1867.00,100,1730.00,0.92,6050.00,1.66,1930.00,1.02,220.00,0.12
28,Entry Long,BUY,2021-02-02 13:55,1873.00,100,2110.00,1.13,8160.00,1.99,2205.00,1.18,480.00,0.26
28,Exit Long,BUY_TG_HIT,2021-02-02 14:35,1894.10,100,2110.00,1.13,8160.00,1.99,2205.00,1.18,480.00,0.26
29,Entry Short,SELL,2021-02-03 09:35,1926.80,100,-1890.00,-0.98,6270.00,-1.75,1180.00,0.61,2020.00,1.05
29,Exit Short,SELL_SL_HIT,2021-02-03 10:45,1945.70,100,-1890.00,-0.98,6270.00,-1.75,1180.00,0.61,2020.00,1.05
30,Entry Long,BUY,2021-02-03 10:50,1946.60,100,-1310.00,-0.67,4960.00,-1.23,310.00,0.16,2425.00,1.25
30,Exit Long,SELL,2021-02-03 14:55,1933.50,100,-1310.00,-0.67,4960.00,-1.23,310.00,0.16,2425.00,1.25
31,Entry Short,SELL,2021-02-03 14:55,1933.50,100,-95.00,-0.05,4865.00,-0.09,675.00,0.35,310.00,0.16
31,Exit Short,INTRADAY_SExit,2021-02-03 15:05,1934.45,100,-95.00,-0.05,4865.00,-0.09,675.00,0.35,310.00,0.16
32,Entry Long,BUY,2021-02-04 09:45,1934.65,100,-1455.00,-0.75,3410.00,-1.39,170.00,0.09,1510.00,0.78
32,Exit Long,SELL,2021-02-04 13:15,1920.10,100,-1455.00,-0.75,3410.00,-1.39,170.00,0.09,1510.00,0.78
33,Entry Short,SELL,2021-02-04 13:15,1920.10,100,-485.00,-0.25,2925.00,-0.47,1510.00,0.79,490.00,0.26
33,Exit Short,BUY,2021-02-04 14:25,1924.95,100,-485.00,-0.25,2925.00,-0.47,1510.00,0.79,490.00,0.26
34,Entry Long,BUY,2021-02-04 14:25,1924.95,100,0,0,2925.00,0,65.00,0.03,795.00,0.41
34,Exit Long,INTRADAY_BExit,2021-02-04 15:05,1924.95,100,0,0,2925.00,0,65.00,0.03,795.00,0.41
35,Entry Short,SELL,2021-02-05 13:20,1925.00,100,-100.00,-0.05,2825.00,-0.1,300.00,0.16,795.00,0.41
35,Exit Short,INTRADAY_SExit,2021-02-05 15:05,1926.00,100,-100.00,-0.05,2825.00,-0.1,300.00,0.16,795.00,0.41
36,Entry Long,BUY,2021-02-08 09:35,1934.45,100,2095.00,1.08,4920.00,2.04,2235.00,1.16,95.00,0.05
36,Exit Long,BUY_TG_HIT,2021-02-08 09:50,1955.40,100,2095.00,1.08,4920.00,2.04,2235.00,1.16,95.00,0.05
37,Entry Short,SELL,2021-02-08 14:55,1956.15,100,315.00,0.16,5235.00,0.3,395.00,0.2,20.00,0.01
37,Exit Short,INTRADAY_SExit,2021-02-08 15:05,1953.00,100,315.00,0.16,5235.00,0.3,395.00,0.2,20.00,0.01
38,Entry Long,BUY,2021-02-09 09:35,1985.45,100,-1045.00,-0.53,4190.00,-0.99,415.00,0.21,1290.00,0.65
38,Exit Long,SELL,2021-02-09 14:40,1975.00,100,-1045.00,-0.53,4190.00,-0.99,415.00,0.21,1290.00,0.65
39,Entry Short,SELL,2021-02-09 14:40,1975.00,100,1825.00,0.92,6015.00,1.75,2235.00,1.13,50.00,0.03
39,Exit Short,INTRADAY_SExit,2021-02-09 15:05,1956.75,100,1825.00,0.92,6015.00,1.75,2235.00,1.13,50.00,0.03
40,Entry Long,BUY,2021-02-10 09:35,1969.85,100,-1905.00,-0.97,4110.00,-1.8,65.00,0.03,2350.00,1.19
40,Exit Long,BUY_SL_HIT,2021-02-10 10:20,1950.80,100,-1905.00,-0.97,4110.00,-1.8,65.00,0.03,2350.00,1.19
41,Entry Short,SELL,2021-02-10 10:25,1936.00,100,-1130.00,-0.58,2980.00,-1.09,870.00,0.45,1710.00,0.88
41,Exit Short,BUY,2021-02-10 14:00,1947.30,100,-1130.00,-0.58,2980.00,-1.09,870.00,0.45,1710.00,0.88
42,Entry Long,BUY,2021-02-10 14:00,1947.30,100,1770.00,0.91,4750.00,1.72,1870.00,0.96,65.00,0.03
42,Exit Long,INTRADAY_BExit,2021-02-10 15:05,1965.00,100,1770.00,0.91,4750.00,1.72,1870.00,0.96,65.00,0.03
43,Entry Short,SELL,2021-02-11 11:30,2018.15,100,-1575.00,-0.78,3175.00,-1.5,635.00,0.31,1585.00,0.79
43,Exit Short,BUY,2021-02-11 13:45,2033.90,100,-1575.00,-0.78,3175.00,-1.5,635.00,0.31,1585.00,0.79
44,Entry Long,BUY,2021-02-11 13:45,2033.90,100,1250.00,0.61,4425.00,1.21,1600.00,0.79,460.00,0.23
44,Exit Long,INTRADAY_BExit,2021-02-11 15:05,2046.40,100,1250.00,0.61,4425.00,1.21,1600.00,0.79,460.00,0.23
45,Entry Short,SELL,2021-02-12 11:40,2043.70,100,2480.00,1.21,6905.00,2.37,2830.00,1.38,1395.00,0.68
45,Exit Short,SELL_TG_HIT,2021-02-12 14:05,2018.90,100,2480.00,1.21,6905.00,2.37,2830.00,1.38,1395.00,0.68
46,Entry Long,BUY,2021-02-12 14:35,2042.15,100,-595.00,-0.29,6310.00,-0.56,640.00,0.31,895.00,0.44
46,Exit Long,INTRADAY_BExit,2021-02-12 15:05,2036.20,100,-595.00,-0.29,6310.00,-0.56,640.00,0.31,895.00,0.44
47,Entry Short,SELL,2021-02-15 14:15,2039.00,100,745.00,0.37,7055.00,0.7,1400.00,0.69,0,0
47,Exit Short,INTRADAY_SExit,2021-02-15 15:05,2031.55,100,745.00,0.37,7055.00,0.7,1400.00,0.69,0,0
48,Entry Long,BUY,2021-02-16 09:35,2046.65,100,2115.00,1.03,9170.00,1.98,2335.00,1.14,865.00,0.42
48,Exit Long,BUY_TG_HIT,2021-02-16 10:55,2067.80,100,2115.00,1.03,9170.00,1.98,2335.00,1.14,865.00,0.42
49,Entry Short,SELL,2021-02-16 13:05,2061.20,100,-230.00,-0.11,8940.00,-0.21,920.00,0.45,380.00,0.18
49,Exit Short,INTRADAY_SExit,2021-02-16 15:05,2063.50,100,-230.00,-0.11,8940.00,-0.21,920.00,0.45,380.00,0.18
50,Entry Long,BUY,2021-02-17 09:35,2062.00,100,-875.00,-0.42,8065.00,-0.8,605.00,0.29,1040.00,0.5
50,Exit Long,SELL,2021-02-17 10:40,2053.25,100,-875.00,-0.42,8065.00,-0.8,605.00,0.29,1040.00,0.5
51,Entry Short,SELL,2021-02-17 10:40,2053.25,100,-1675.00,-0.82,6390.00,-1.55,265.00,0.13,1675.00,0.82
51,Exit Short,BUY,2021-02-17 11:10,2070.00,100,-1675.00,-0.82,6390.00,-1.55,265.00,0.13,1675.00,0.82
52,Entry Long,BUY,2021-02-17 11:10,2070.00,100,1995.00,0.96,8385.00,1.88,2390.00,1.15,400.00,0.19
52,Exit Long,BUY_TG_HIT,2021-02-17 14:15,2089.95,100,1995.00,0.96,8385.00,1.88,2390.00,1.15,400.00,0.19
53,Entry Short,SELL,2021-02-18 11:45,2084.00,100,1000.00,0.48,9385.00,0.92,1355.00,0.65,970.00,0.47
53,Exit Short,INTRADAY_SExit,2021-02-18 15:05,2074.00,100,1000.00,0.48,9385.00,0.92,1355.00,0.65,970.00,0.47
54,Entry Long,BUY,2021-02-19 09:35,2081.00,100,1915.00,0.92,11300.00,1.75,2395.00,1.15,185.00,0.09
54,Exit Long,BUY_TG_HIT,2021-02-19 13:10,2100.15,100,1915.00,0.92,11300.00,1.75,2395.00,1.15,185.00,0.09
55,Entry Short,SELL,2021-02-19 14:05,2088.05,100,1605.00,0.77,12905.00,1.44,1920.00,0.92,70.00,0.03
55,Exit Short,INTRADAY_SExit,2021-02-19 15:05,2072.00,100,1605.00,0.77,12905.00,1.44,1920.00,0.92,70.00,0.03
56,Entry Long,BUY,2021-02-23 09:35,2035.55,100,-455.00,-0.22,12450.00,-0.4,1735.00,0.85,2195.00,1.08
56,Exit Long,SELL,2021-02-23 12:40,2031.00,100,-455.00,-0.22,12450.00,-0.4,1735.00,0.85,2195.00,1.08
57,Entry Short,SELL,2021-02-23 12:40,2031.00,100,890.00,0.44,13340.00,0.79,940.00,0.46,1300.00,0.64
57,Exit Short,INTRADAY_SExit,2021-02-23 15:05,2022.10,100,890.00,0.44,13340.00,0.79,940.00,0.46,1300.00,0.64
58,Entry Long,BUY,2021-02-24 09:35,2054.85,100,-590.00,-0.29,12750.00,-0.52,115.00,0.06,1625.00,0.79
58,Exit Long,INTRADAY_BExit,2021-02-24 15:50,2048.95,100,-590.00,-0.29,12750.00,-0.52,115.00,0.06,1625.00,0.79
59,Entry Short,SELL,2021-02-26 09:35,2133.50,100,2260.00,1.06,15010.00,2,2360.00,1.11,0,0
59,Exit Short,SELL_TG_HIT,2021-02-26 09:55,2110.90,100,2260.00,1.06,15010.00,2,2360.00,1.11,0,0
60,Entry Long,BUY,2021-02-26 14:00,2106.00,100,-1085.00,-0.52,13925.00,-0.94,680.00,0.32,1135.00,0.54
60,Exit Long,INTRADAY_BExit,2021-02-26 15:05,2095.15,100,-1085.00,-0.52,13925.00,-0.94,680.00,0.32,1135.00,0.54
61,Entry Long,BUY,2021-03-01 09:35,2096.60,100,-515.00,-0.25,13410.00,-0.45,1195.00,0.57,1000.00,0.48
61,Exit Long,SELL,2021-03-01 11:30,2091.45,100,-515.00,-0.25,13410.00,-0.45,1195.00,0.57,1000.00,0.48
62,Entry Short,SELL,2021-03-01 11:30,2091.45,100,2425.00,1.16,15835.00,2.14,2510.00,1.2,355.00,0.17
62,Exit Short,SELL_TG_HIT,2021-03-01 12:25,2067.20,100,2425.00,1.16,15835.00,2.14,2510.00,1.2,355.00,0.17
63,Entry Long,BUY,2021-03-01 13:35,2086.00,100,1055.00,0.51,16890.00,0.91,1790.00,0.86,595.00,0.29
63,Exit Long,INTRADAY_BExit,2021-03-01 15:05,2096.55,100,1055.00,0.51,16890.00,0.91,1790.00,0.86,595.00,0.29
64,Entry Short,SELL,2021-03-02 11:20,2101.85,100,245.00,0.12,17135.00,0.21,1275.00,0.61,1295.00,0.62
64,Exit Short,INTRADAY_SExit,2021-03-02 15:05,2099.40,100,245.00,0.12,17135.00,0.21,1275.00,0.61,1295.00,0.62
65,Entry Long,BUY,2021-03-03 09:35,2126.95,100,2185.00,1.03,19320.00,1.87,2185.00,1.03,1975.00,0.93
65,Exit Long,BUY_TG_HIT,2021-03-03 14:25,2148.80,100,2185.00,1.03,19320.00,1.87,2185.00,1.03,1975.00,0.93
66,Entry Short,SELL,2021-03-04 09:35,2168.00,100,-1695.00,-0.78,17625.00,-1.42,1030.00,0.48,2195.00,1.01
66,Exit Short,BUY,2021-03-04 13:15,2184.95,100,-1695.00,-0.78,17625.00,-1.42,1030.00,0.48,2195.00,1.01
67,Entry Long,BUY,2021-03-04 13:15,2184.95,100,-835.00,-0.38,16790.00,-0.71,205.00,0.09,1175.00,0.54
67,Exit Long,INTRADAY_BExit,2021-03-04 15:05,2176.60,100,-835.00,-0.38,16790.00,-0.71,205.00,0.09,1175.00,0.54
68,Entry Short,SELL,2021-03-05 09:35,2169.95,100,-2335.00,-1.08,14455.00,-2,305.00,0.14,2390.00,1.1
68,Exit Short,SELL_SL_HIT,2021-03-05 10:00,2193.30,100,-2335.00,-1.08,14455.00,-2,305.00,0.14,2390.00,1.1
69,Entry Long,BUY,2021-03-05 10:10,2208.00,100,-2285.00,-1.03,12170.00,-2,395.00,0.18,2300.00,1.04
69,Exit Long,BUY_SL_HIT,2021-03-05 10:55,2185.15,100,-2285.00,-1.03,12170.00,-2,395.00,0.18,2300.00,1.04
70,Entry Short,SELL,2021-03-05 13:55,2177.50,100,-280.00,-0.13,11890.00,-0.25,1250.00,0.57,750.00,0.34
70,Exit Short,INTRADAY_SExit,2021-03-05 15:05,2180.30,100,-280.00,-0.13,11890.00,-0.25,1250.00,0.57,750.00,0.34
71,Entry Long,BUY,2021-03-08 09:35,2208.35,100,2160.00,0.98,14050.00,1.93,2165.00,0.98,505.00,0.23
71,Exit Long,BUY_TG_HIT,2021-03-08 10:10,2229.95,100,2160.00,0.98,14050.00,1.93,2165.00,0.98,505.00,0.23
72,Entry Short,SELL,2021-03-08 12:45,2193.50,100,365.00,0.17,14415.00,0.32,940.00,0.43,1350.00,0.62
72,Exit Short,INTRADAY_SExit,2021-03-08 15:05,2189.85,100,365.00,0.17,14415.00,0.32,940.00,0.43,1350.00,0.62
73,Entry Long,BUY,2021-03-09 09:35,2204.95,100,-2195.00,-1,12220.00,-1.92,15.00,0.01,2295.00,1.04
73,Exit Long,BUY_SL_HIT,2021-03-09 10:05,2183.00,100,-2195.00,-1,12220.00,-1.92,15.00,0.01,2295.00,1.04
74,Entry Short,SELL,2021-03-09 10:15,2179.85,100,2295.00,1.05,14515.00,2.05,2295.00,1.05,955.00,0.44
74,Exit Short,SELL_TG_HIT,2021-03-09 13:20,2156.90,100,2295.00,1.05,14515.00,2.05,2295.00,1.05,955.00,0.44
75,Entry Long,BUY,2021-03-09 14:20,2173.25,100,1070.00,0.49,15585.00,0.93,1075.00,0.49,525.00,0.24
75,Exit Long,INTRADAY_BExit,2021-03-09 15:05,2183.95,100,1070.00,0.49,15585.00,0.93,1075.00,0.49,525.00,0.24
76,Entry Short,SELL,2021-03-10 11:20,2179.40,100,-210.00,-0.1,15375.00,-0.18,915.00,0.42,650.00,0.3
76,Exit Short,INTRADAY_SExit,2021-03-10 15:05,2181.50,100,-210.00,-0.1,15375.00,-0.18,915.00,0.42,650.00,0.3
77,Entry Long,BUY,2021-03-12 09:35,2189.95,100,-1170.00,-0.53,14205.00,-1.01,805.00,0.37,1360.00,0.62
77,Exit Long,SELL,2021-03-12 11:20,2178.25,100,-1170.00,-0.53,14205.00,-1.01,805.00,0.37,1360.00,0.62
78,Entry Short,SELL,2021-03-12 11:20,2178.25,100,2115.00,0.97,16320.00,1.85,2200.00,1.01,445.00,0.2
78,Exit Short,SELL_TG_HIT,2021-03-12 13:35,2157.10,100,2115.00,0.97,16320.00,1.85,2200.00,1.01,445.00,0.2
79,Entry Long,BUY,2021-03-15 14:40,2096.70,100,1250.00,0.6,17570.00,1.07,1420.00,0.68,350.00,0.17
79,Exit Long,INTRADAY_BExit,2021-03-15 15:05,2109.20,100,1250.00,0.6,17570.00,1.07,1420.00,0.68,350.00,0.17
80,Entry Short,SELL,2021-03-16 13:40,2097.35,100,-425.00,-0.2,17145.00,-0.36,0,0,970.00,0.46
80,Exit Short,INTRADAY_SExit,2021-03-16 15:05,2101.60,100,-425.00,-0.2,17145.00,-0.36,0,0,970.00,0.46
81,Entry Long,BUY,2021-03-18 09:35,2069.95,100,-1840.00,-0.89,15305.00,-1.57,170.00,0.08,1890.00,0.91
81,Exit Long,SELL,2021-03-18 10:20,2051.55,100,-1840.00,-0.89,15305.00,-1.57,170.00,0.08,1890.00,0.91
82,Entry Short,SELL,2021-03-18 10:20,2051.55,100,2055.00,1,17360.00,1.78,2055.00,1,420.00,0.2
82,Exit Short,SELL_TG_HIT,2021-03-18 13:20,2031.00,100,2055.00,1,17360.00,1.78,2055.00,1,420.00,0.2
83,Entry Long,BUY,2021-03-19 10:50,2018.00,100,2660.00,1.32,20020.00,2.27,2670.00,1.32,1795.00,0.89
83,Exit Long,BUY_TG_HIT,2021-03-19 14:10,2044.60,100,2660.00,1.32,20020.00,2.27,2670.00,1.32,1795.00,0.89
84,Entry Short,SELL,2021-03-22 09:35,2057.75,100,1875.00,0.91,21895.00,1.56,2240.00,1.09,700.00,0.34
84,Exit Short,SELL_TG_HIT,2021-03-22 12:25,2039.00,100,1875.00,0.91,21895.00,1.56,2240.00,1.09,700.00,0.34
85,Entry Long,BUY,2021-03-22 13:45,2052.70,100,730.00,0.36,22625.00,0.6,730.00,0.36,1300.00,0.63
85,Exit Long,INTRADAY_BExit,2021-03-22 15:05,2060.00,100,730.00,0.36,22625.00,0.6,730.00,0.36,1300.00,0.63
86,Entry Short,SELL,2021-03-24 09:35,2066.00,100,2020.00,0.98,24645.00,1.65,2400.00,1.16,200.00,0.1
86,Exit Short,SELL_TG_HIT,2021-03-24 10:55,2045.80,100,2020.00,0.98,24645.00,1.65,2400.00,1.16,200.00,0.1
87,Entry Long,BUY,2021-03-24 11:50,2065.30,100,-1565.00,-0.76,23080.00,-1.26,445.00,0.22,1630.00,0.79
87,Exit Long,SELL,2021-03-24 13:55,2049.65,100,-1565.00,-0.76,23080.00,-1.26,445.00,0.22,1630.00,0.79
88,Entry Short,SELL,2021-03-24 13:55,2049.65,100,-15.00,-0.01,23065.00,-0.01,925.00,0.45,550.00,0.27
88,Exit Short,INTRADAY_SExit,2021-03-24 15:05,2049.80,100,-15.00,-0.01,23065.00,-0.01,925.00,0.45,550.00,0.27
89,Entry Long,BUY,2021-03-26 09:35,1998.45,100,-2245.00,-1.12,20820.00,-1.82,150.00,0.08,2475.00,1.24
89,Exit Long,SELL,2021-03-26 09:55,1976.00,100,-2245.00,-1.12,20820.00,-1.82,150.00,0.08,2475.00,1.24
90,Entry Short,SELL,2021-03-26 09:55,1976.00,100,-1810.00,-0.92,19010.00,-1.5,125.00,0.06,2190.00,1.11
90,Exit Short,SELL_SL_HIT,2021-03-26 10:25,1994.10,100,-1810.00,-0.92,19010.00,-1.5,125.00,0.06,2190.00,1.11
91,Entry Long,BUY,2021-03-26 11:40,2002.40,100,-455.00,-0.23,18555.00,-0.38,520.00,0.26,1080.00,0.54
