Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 10:00,50167,1,63800.00,1.27,63800.00,21.27,72500.00,1.45,0,0
1,Exit Long,INTRADAY_BExit,2021-01-04 09:30,50805,1,63800.00,1.27,63800.00,21.27,72500.00,1.45,0,0
2,Entry Short,SELL,2021-01-06 19:00,51346,1,40000.00,0.78,103800.00,11,42800.00,0.83,1800.00,0.04
2,Exit Short,SELL_TG_HIT,2021-01-06 21:00,50946,1,40000.00,0.78,103800.00,11,42800.00,0.83,1800.00,0.04
3,Entry Long,BUY,2021-01-12 10:00,49320,1,-23500.00,-0.48,80300.00,-5.82,25000.00,0.51,28000.00,0.57
3,Exit Long,SELL,2021-01-12 19:30,49085,1,-23500.00,-0.48,80300.00,-5.82,25000.00,0.51,28000.00,0.57
4,Entry Short,SELL,2021-01-12 19:30,49085,1,8800.00,0.18,89100.00,2.31,15200.00,0.31,11000.00,0.22
4,Exit Short,INTRADAY_SExit,2021-01-12 23:30,48997,1,8800.00,0.18,89100.00,2.31,15200.00,0.31,11000.00,0.22
5,Entry Long,BUY,2021-01-13 10:00,49398,1,-13800.00,-0.28,75300.00,-3.55,4000.00,0.08,22400.00,0.45
5,Exit Long,INTRADAY_BExit,2021-01-13 23:30,49260,1,-13800.00,-0.28,75300.00,-3.55,4000.00,0.08,22400.00,0.45
6,Entry Short,SELL,2021-01-14 10:00,48900,1,-13000.00,-0.27,62300.00,-3.46,14900.00,0.3,31100.00,0.64
6,Exit Short,BUY,2021-01-14 20:30,49030,1,-13000.00,-0.27,62300.00,-3.46,14900.00,0.3,31100.00,0.64
7,Entry Long,BUY,2021-01-14 20:30,49030,1,19300.00,0.39,81600.00,5.33,22000.00,0.45,6800.00,0.14
7,Exit Long,INTRADAY_BExit,2021-01-14 23:30,49223,1,19300.00,0.39,81600.00,5.33,22000.00,0.45,6800.00,0.14
8,Entry Short,SELL,2021-01-15 20:00,48950,1,29000.00,0.59,110600.00,7.6,40600.00,0.83,5800.00,0.12
8,Exit Short,SELL_TG_HIT,2021-01-15 21:30,48660,1,29000.00,0.59,110600.00,7.6,40600.00,0.83,5800.00,0.12
9,Entry Long,BUY,2021-01-19 14:30,49036,1,-5500.00,-0.11,105100.00,-1.34,1600.00,0.03,28600.00,0.58
9,Exit Long,INTRADAY_BExit,2021-01-19 23:30,48981,1,-5500.00,-0.11,105100.00,-1.34,1600.00,0.03,28600.00,0.58
10,Entry Short,SELL,2021-01-20 18:00,49047,1,-29900.00,-0.61,75200.00,-7.38,24600.00,0.5,32100.00,0.65
10,Exit Short,SELL_SL_HIT,2021-01-20 20:00,49346,1,-29900.00,-0.61,75200.00,-7.38,24600.00,0.5,32100.00,0.65
11,Entry Long,BUY,2021-01-20 20:30,49336,1,15000.00,0.3,90200.00,4,30400.00,0.62,2800.00,0.06
11,Exit Long,INTRADAY_BExit,2021-01-20 23:30,49486,1,15000.00,0.3,90200.00,4,30400.00,0.62,2800.00,0.06
12,Entry Short,SELL,2021-01-21 20:00,49513,1,5900.00,0.12,96100.00,1.51,13100.00,0.26,2000.00,0.04
12,Exit Short,INTRADAY_SExit,2021-01-21 23:30,49454,1,5900.00,0.12,96100.00,1.51,13100.00,0.26,2000.00,0.04
13,Entry Long,BUY,2021-01-22 22:00,49082,1,3500.00,0.07,99600.00,0.88,9100.00,0.19,4100.00,0.08
13,Exit Long,INTRADAY_BExit,2021-01-22 23:30,49117,1,3500.00,0.07,99600.00,0.88,9100.00,0.19,4100.00,0.08
14,Entry Short,SELL,2021-01-25 22:00,49049,1,-11900.00,-0.24,87700.00,-2.98,1800.00,0.04,15000.00,0.31
14,Exit Short,INTRADAY_SExit,2021-01-25 23:30,49168,1,-11900.00,-0.24,87700.00,-2.98,1800.00,0.04,15000.00,0.31
15,Entry Long,BUY,2021-01-28 20:00,49135,1,-34100.00,-0.69,53600.00,-8.8,15500.00,0.32,38400.00,0.78
15,Exit Long,BUY_SL_HIT,2021-01-28 23:00,48794,1,-34100.00,-0.69,53600.00,-8.8,15500.00,0.32,38400.00,0.78
16,Entry Short,SELL,2021-01-29 10:00,48769,1,-34500.00,-0.71,19100.00,-9.76,700.00,0.01,37100.00,0.76
16,Exit Short,SELL_SL_HIT,2021-01-29 16:30,49114,1,-34500.00,-0.71,19100.00,-9.76,700.00,0.01,37100.00,0.76
17,Entry Long,BUY,2021-01-29 17:00,49158,1,-5000.00,-0.1,14100.00,-1.57,32700.00,0.67,15700.00,0.32
17,Exit Long,INTRADAY_BExit,2021-01-29 23:30,49108,1,-5000.00,-0.1,14100.00,-1.57,32700.00,0.67,15700.00,0.32
18,Entry Short,SELL,2021-02-01 12:00,49191,1,93100.00,1.89,107200.00,29.64,97300.00,1.98,7900.00,0.16
18,Exit Short,SELL_TG_HIT,2021-02-01 13:00,48260,1,93100.00,1.89,107200.00,29.64,97300.00,1.98,7900.00,0.16
19,Entry Long,BUY,2021-02-05 14:30,47185,1,-26300.00,-0.56,80900.00,-6.46,500.00,0.01,37900.00,0.8
19,Exit Long,BUY_SL_HIT,2021-02-05 19:00,46922,1,-26300.00,-0.56,80900.00,-6.46,500.00,0.01,37900.00,0.8
20,Entry Short,SELL,2021-02-05 19:30,46959,1,-28300.00,-0.6,52600.00,-7.43,11700.00,0.25,30900.00,0.66
20,Exit Short,SELL_SL_HIT,2021-02-05 22:30,47242,1,-28300.00,-0.6,52600.00,-7.43,11700.00,0.25,30900.00,0.66
21,Entry Long,BUY,2021-02-05 23:00,47272,1,-3200.00,-0.07,49400.00,-0.91,800.00,0.02,5100.00,0.11
21,Exit Long,INTRADAY_BExit,2021-02-05 23:30,47240,1,-3200.00,-0.07,49400.00,-0.91,800.00,0.02,5100.00,0.11
22,Entry Short,SELL,2021-02-09 21:00,48070,1,11700.00,0.24,61100.00,3.35,19000.00,0.4,1300.00,0.03
22,Exit Short,INTRADAY_SExit,2021-02-09 23:30,47953,1,11700.00,0.24,61100.00,3.35,19000.00,0.4,1300.00,0.03
23,Entry Long,BUY,2021-02-10 20:00,48140,1,-13800.00,-0.29,47300.00,-3.82,2000.00,0.04,31800.00,0.66
23,Exit Long,INTRADAY_BExit,2021-02-10 23:30,48002,1,-13800.00,-0.29,47300.00,-3.82,2000.00,0.04,31800.00,0.66
24,Entry Short,SELL,2021-02-11 10:00,47865,1,38500.00,0.8,85800.00,11.09,39300.00,0.82,23500.00,0.49
24,Exit Short,SELL_TG_HIT,2021-02-11 23:00,47480,1,38500.00,0.8,85800.00,11.09,39300.00,0.82,23500.00,0.49
25,Entry Long,BUY,2021-02-12 22:00,47496,1,-19200.00,-0.4,66600.00,-4.98,700.00,0.01,19600.00,0.41
25,Exit Long,INTRADAY_BExit,2021-02-12 23:30,47304,1,-19200.00,-0.4,66600.00,-4.98,700.00,0.01,19600.00,0.41
26,Entry Short,SELL,2021-02-16 18:00,47296,1,44100.00,0.93,110700.00,12.03,45600.00,0.96,400.00,0.01
26,Exit Short,SELL_TG_HIT,2021-02-16 19:30,46855,1,44100.00,0.93,110700.00,12.03,45600.00,0.96,400.00,0.01
27,Entry Long,BUY,2021-02-16 22:00,47031,1,-17100.00,-0.36,93600.00,-4.16,2100.00,0.04,22600.00,0.48
27,Exit Long,INTRADAY_BExit,2021-02-16 23:30,46860,1,-17100.00,-0.36,93600.00,-4.16,2100.00,0.04,22600.00,0.48
28,Entry Short,SELL,2021-02-17 10:30,46735,1,37100.00,0.79,130700.00,9.43,37500.00,0.8,2000.00,0.04
28,Exit Short,SELL_TG_HIT,2021-02-17 19:00,46364,1,37100.00,0.79,130700.00,9.43,37500.00,0.8,2000.00,0.04
29,Entry Long,BUY,2021-02-19 20:00,46204,1,5600.00,0.12,136300.00,1.3,28600.00,0.62,4300.00,0.09
29,Exit Long,INTRADAY_BExit,2021-02-19 23:30,46260,1,5600.00,0.12,136300.00,1.3,28600.00,0.62,4300.00,0.09
30,Entry Short,SELL,2021-02-24 16:00,46680,1,29500.00,0.63,165800.00,6.76,35400.00,0.76,11800.00,0.25
30,Exit Short,SELL_TG_HIT,2021-02-24 19:30,46385,1,29500.00,0.63,165800.00,6.76,35400.00,0.76,11800.00,0.25
31,Entry Long,BUY,2021-02-26 16:30,46522,1,-40700.00,-0.87,125100.00,-8.74,16700.00,0.36,41200.00,0.89
31,Exit Long,BUY_SL_HIT,2021-02-26 20:30,46115,1,-40700.00,-0.87,125100.00,-8.74,16700.00,0.36,41200.00,0.89
32,Entry Short,SELL,2021-02-26 21:00,45828,1,10300.00,0.22,135400.00,2.42,21700.00,0.47,16800.00,0.37
32,Exit Short,INTRADAY_SExit,2021-02-26 23:30,45725,1,10300.00,0.22,135400.00,2.42,21700.00,0.47,16800.00,0.37
33,Entry Long,BUY,2021-03-02 19:00,45462,1,11700.00,0.26,147100.00,2.69,18800.00,0.41,22500.00,0.49
33,Exit Long,INTRADAY_BExit,2021-03-02 23:30,45579,1,11700.00,0.26,147100.00,2.69,18800.00,0.41,22500.00,0.49
34,Entry Short,SELL,2021-03-03 14:30,45139,1,35600.00,0.79,182700.00,7.96,46900.00,1.04,5800.00,0.13
34,Exit Short,SELL_TG_HIT,2021-03-03 19:00,44783,1,35600.00,0.79,182700.00,7.96,46900.00,1.04,5800.00,0.13
35,Entry Long,BUY,2021-03-08 10:00,44712,1,-31700.00,-0.71,151000.00,-6.57,300.00,0.01,41100.00,0.92
35,Exit Long,BUY_SL_HIT,2021-03-08 15:00,44395,1,-31700.00,-0.71,151000.00,-6.57,300.00,0.01,41100.00,0.92
36,Entry Short,SELL,2021-03-08 18:00,44407,1,17300.00,0.39,168300.00,3.84,25700.00,0.58,14600.00,0.33
36,Exit Short,INTRADAY_SExit,2021-03-08 23:30,44234,1,17300.00,0.39,168300.00,3.84,25700.00,0.58,14600.00,0.33
37,Entry Long,BUY,2021-03-09 15:30,44487,1,30200.00,0.68,198500.00,6.45,35700.00,0.8,3700.00,0.08
37,Exit Long,BUY_TG_HIT,2021-03-09 19:30,44789,1,30200.00,0.68,198500.00,6.45,35700.00,0.8,3700.00,0.08
38,Entry Short,SELL,2021-03-12 10:00,44745,1,27200.00,0.61,225700.00,5.46,28000.00,0.63,300.00,0.01
38,Exit Short,SELL_TG_HIT,2021-03-12 14:30,44473,1,27200.00,0.61,225700.00,5.46,28000.00,0.63,300.00,0.01
39,Entry Long,BUY,2021-03-12 23:00,44698,1,3400.00,0.08,229100.00,0.65,6400.00,0.14,900.00,0.02
39,Exit Long,INTRADAY_BExit,2021-03-12 23:30,44732,1,3400.00,0.08,229100.00,0.65,6400.00,0.14,900.00,0.02
40,Entry Short,SELL,2021-03-15 21:00,44885,1,-6500.00,-0.14,222600.00,-1.23,3700.00,0.08,6500.00,0.14
40,Exit Short,INTRADAY_SExit,2021-03-16 09:00,44950,1,-6500.00,-0.14,222600.00,-1.23,3700.00,0.08,6500.00,0.14
41,Entry Long,BUY,2021-03-18 10:30,45204,1,-21600.00,-0.48,201000.00,-4.13,9500.00,0.21,29200.00,0.65
41,Exit Long,SELL,2021-03-18 15:00,44988,1,-21600.00,-0.48,201000.00,-4.13,9500.00,0.21,29200.00,0.65
42,Entry Short,SELL,2021-03-18 15:00,44988,1,33500.00,0.74,234500.00,6.69,34800.00,0.77,3100.00,0.07
42,Exit Short,SELL_TG_HIT,2021-03-18 19:00,44653,1,33500.00,0.74,234500.00,6.69,34800.00,0.77,3100.00,0.07
43,Entry Long,BUY,2021-03-19 12:30,45013,1,-500.00,-0.01,234000.00,-0.09,12400.00,0.28,15900.00,0.35
43,Exit Long,INTRADAY_BExit,2021-03-19 23:30,45008,1,-500.00,-0.01,234000.00,-0.09,12400.00,0.28,15900.00,0.35
44,Entry Short,SELL,2021-03-22 12:30,44745,1,-14500.00,-0.32,219500.00,-2.72,11500.00,0.26,15300.00,0.34
44,Exit Short,BUY,2021-03-22 22:00,44890,1,-14500.00,-0.32,219500.00,-2.72,11500.00,0.26,15300.00,0.34
45,Entry Long,BUY,2021-03-22 22:00,44890,1,-10400.00,-0.23,209100.00,-2,5000.00,0.11,10400.00,0.23
45,Exit Long,INTRADAY_BExit,2021-03-23 09:00,44786,1,-10400.00,-0.23,209100.00,-2,5000.00,0.11,10400.00,0.23
46,Entry Short,SELL,2021-03-23 20:00,44696,1,-10400.00,-0.23,198700.00,-2.04,10600.00,0.24,10400.00,0.23
46,Exit Short,INTRADAY_SExit,2021-03-24 09:00,44800,1,-10400.00,-0.23,198700.00,-2.04,10600.00,0.24,10400.00,0.23
47,Entry Long,BUY,2021-03-25 19:30,44917,1,-28200.00,-0.63,170500.00,-5.65,5300.00,0.12,28200.00,0.63
47,Exit Long,INTRADAY_BExit,2021-03-26 09:00,44635,1,-28200.00,-0.63,170500.00,-5.65,5300.00,0.12,28200.00,0.63
48,Entry Short,SELL,2021-03-26 10:00,44568,1,-13900.00,-0.31,156600.00,-2.95,12700.00,0.28,22000.00,0.49
48,Exit Short,BUY,2021-03-26 21:00,44707,1,-13900.00,-0.31,156600.00,-2.95,12700.00,0.28,22000.00,0.49
49,Entry Long,BUY,2021-03-26 21:00,44707,1,26500.00,0.59,183100.00,5.8,26500.00,0.59,17700.00,0.4
49,Exit Long,INTRADAY_BExit,2021-03-29 17:00,44972,1,26500.00,0.59,183100.00,5.8,26500.00,0.59,17700.00,0.4
50,Entry Short,SELL,2021-03-29 20:30,44745,1,15500.00,0.35,198600.00,3.21,15500.00,0.35,5300.00,0.12
50,Exit Short,INTRADAY_SExit,2021-03-30 09:00,44590,1,15500.00,0.35,198600.00,3.21,15500.00,0.35,5300.00,0.12
51,Entry Long,BUY,2021-03-31 20:00,44513,1,28100.00,0.63,226700.00,5.64,28400.00,0.64,1700.00,0.04
51,Exit Long,BUY_TG_HIT,2021-03-31 21:30,44794,1,28100.00,0.63,226700.00,5.64,28400.00,0.64,1700.00,0.04
52,Entry Short,SELL,2021-04-09 16:30,46590,1,4500.00,0.1,231200.00,0.85,27600.00,0.59,10000.00,0.21
52,Exit Short,INTRADAY_SExit,2021-04-12 09:00,46545,1,4500.00,0.1,231200.00,0.85,27600.00,0.59,10000.00,0.21
53,Entry Long,BUY,2021-04-12 16:30,46697,1,-21400.00,-0.46,209800.00,-4.03,7300.00,0.16,26700.00,0.57
53,Exit Long,SELL,2021-04-12 20:30,46483,1,-21400.00,-0.46,209800.00,-4.03,7300.00,0.16,26700.00,0.57
54,Entry Short,SELL,2021-04-12 20:30,46483,1,3300.00,0.07,213100.00,0.65,8300.00,0.18,3700.00,0.08
54,Exit Short,INTRADAY_SExit,2021-04-13 09:00,46450,1,3300.00,0.07,213100.00,0.65,8300.00,0.18,3700.00,0.08
55,Entry Long,BUY,2021-04-13 17:30,46625,1,39400.00,0.85,252500.00,7.68,40100.00,0.86,1800.00,0.04
55,Exit Long,BUY_TG_HIT,2021-04-13 19:30,47019,1,39400.00,0.85,252500.00,7.68,40100.00,0.86,1800.00,0.04
56,Entry Short,SELL,2021-04-14 19:30,46670,1,-1000.00,-0.02,251500.00,-0.18,11400.00,0.24,8500.00,0.18
56,Exit Short,INTRADAY_SExit,2021-04-15 09:00,46680,1,-1000.00,-0.02,251500.00,-0.18,11400.00,0.24,8500.00,0.18
57,Entry Long,BUY,2021-04-15 13:00,46858,1,33700.00,0.72,285200.00,6.11,35900.00,0.77,9800.00,0.21
57,Exit Long,BUY_TG_HIT,2021-04-15 20:00,47195,1,33700.00,0.72,285200.00,6.11,35900.00,0.77,9800.00,0.21
58,Entry Short,SELL,2021-04-16 13:00,46879,1,-28000.00,-0.6,257200.00,-4.78,5900.00,0.13,29100.00,0.62
58,Exit Short,SELL_SL_HIT,2021-04-16 16:00,47159,1,-28000.00,-0.6,257200.00,-4.78,5900.00,0.13,29100.00,0.62
59,Entry Long,BUY,2021-04-16 16:30,47259,1,9400.00,0.2,266600.00,1.69,17300.00,0.37,11500.00,0.24
59,Exit Long,INTRADAY_BExit,2021-04-19 09:00,47353,1,9400.00,0.2,266600.00,1.69,17300.00,0.37,11500.00,0.24
60,Entry Short,SELL,2021-04-19 18:30,47503,1,7900.00,0.17,274500.00,1.39,22300.00,0.47,1400.00,0.03
60,Exit Short,INTRADAY_SExit,2021-04-20 09:00,47424,1,7900.00,0.17,274500.00,1.39,22300.00,0.47,1400.00,0.03
61,Entry Long,BUY,2021-04-20 17:30,47522,1,33300.00,0.7,307800.00,5.8,37900.00,0.8,6900.00,0.15
61,Exit Long,BUY_TG_HIT,2021-04-20 21:30,47855,1,33300.00,0.7,307800.00,5.8,37900.00,0.8,6900.00,0.15
62,Entry Short,SELL,2021-04-22 12:30,47966,1,8100.00,0.17,315900.00,1.33,30600.00,0.64,2400.00,0.05
62,Exit Short,INTRADAY_SExit,2021-04-23 09:00,47885,1,8100.00,0.17,315900.00,1.33,30600.00,0.64,2400.00,0.05
63,Entry Long,BUY,2021-04-23 18:00,47999,1,-29800.00,-0.62,286100.00,-4.84,1400.00,0.03,33300.00,0.69
63,Exit Long,BUY_SL_HIT,2021-04-23 19:30,47701,1,-29800.00,-0.62,286100.00,-4.84,1400.00,0.03,33300.00,0.69
64,Entry Short,SELL,2021-04-23 20:00,47458,1,-14600.00,-0.31,271500.00,-2.49,7400.00,0.16,14600.00,0.31
64,Exit Short,INTRADAY_SExit,2021-04-26 09:00,47604,1,-14600.00,-0.31,271500.00,-2.49,7400.00,0.16,14600.00,0.31
65,Entry Long,BUY,2021-04-28 20:00,47070,1,17500.00,0.37,289000.00,3.06,17500.00,0.37,3000.00,0.06
65,Exit Long,INTRADAY_BExit,2021-04-29 09:00,47245,1,17500.00,0.37,289000.00,3.06,17500.00,0.37,3000.00,0.06
