Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-01 10:00,595.40,1,-375.00,-0.03,-375.00,-0.12,2500.00,0.17,750.00,0.05
1,Exit Long,SELL,2021-01-01 16:00,595.25,1,-375.00,-0.03,-375.00,-0.12,2500.00,0.17,750.00,0.05
2,Entry Short,SELL,2021-01-01 16:00,595.25,1,-15000.00,-1.01,-15375.00,-5.01,1375.00,0.09,16875.00,1.13
2,Exit Short,INTRADAY_SExit,2021-01-04 09:30,601.25,1,-15000.00,-1.01,-15375.00,-5.01,1375.00,0.09,16875.00,1.13
3,Entry Long,BUY,2021-01-04 10:00,601.30,1,14875.00,0.99,-500.00,5.23,16625.00,1.11,1000.00,0.07
3,Exit Long,BUY_TG_HIT,2021-01-04 15:00,607.25,1,14875.00,0.99,-500.00,5.23,16625.00,1.11,1000.00,0.07
4,Entry Short,SELL,2021-01-04 19:00,607.70,1,15875.00,1.04,15375.00,5.3,18500.00,1.22,875.00,0.06
4,Exit Short,SELL_TG_HIT,2021-01-04 21:30,601.35,1,15875.00,1.04,15375.00,5.3,18500.00,1.22,875.00,0.06
5,Entry Long,BUY,2021-01-05 10:00,605.90,1,6750.00,0.45,22125.00,2.14,9750.00,0.64,0,0
5,Exit Long,SELL,2021-01-05 20:00,608.60,1,6750.00,0.45,22125.00,2.14,9750.00,0.64,0,0
6,Entry Short,SELL,2021-01-05 20:00,608.60,1,-10000.00,-0.66,12125.00,-3.1,750.00,0.05,11500.00,0.76
6,Exit Short,BUY,2021-01-05 22:00,612.60,1,-10000.00,-0.66,12125.00,-3.1,750.00,0.05,11500.00,0.76
7,Entry Long,BUY,2021-01-05 22:00,612.60,1,9250.00,0.6,21375.00,2.96,9500.00,0.62,500.00,0.03
7,Exit Long,INTRADAY_BExit,2021-01-05 23:30,616.30,1,9250.00,0.6,21375.00,2.96,9500.00,0.62,500.00,0.03
8,Entry Long,BUY,2021-01-06 13:30,618.00,1,10875.00,0.7,32250.00,3.38,18375.00,1.19,750.00,0.05
8,Exit Long,SELL,2021-01-06 19:00,622.35,1,10875.00,0.7,32250.00,3.38,18375.00,1.19,750.00,0.05
9,Entry Short,SELL,2021-01-06 19:00,622.35,1,16375.00,1.05,48625.00,4.93,20875.00,1.34,375.00,0.02
9,Exit Short,SELL_TG_HIT,2021-01-06 21:30,615.80,1,16375.00,1.05,48625.00,4.93,20875.00,1.34,375.00,0.02
10,Entry Long,BUY,2021-01-07 10:00,620.20,1,1125.00,0.07,49750.00,0.32,5000.00,0.32,5875.00,0.38
10,Exit Long,SELL,2021-01-07 15:00,620.65,1,1125.00,0.07,49750.00,0.32,5000.00,0.32,5875.00,0.38
11,Entry Short,SELL,2021-01-07 15:00,620.65,1,-13875.00,-0.89,35875.00,-3.97,7500.00,0.48,18000.00,1.16
11,Exit Short,BUY,2021-01-07 20:00,626.20,1,-13875.00,-0.89,35875.00,-3.97,7500.00,0.48,18000.00,1.16
12,Entry Long,BUY,2021-01-07 20:00,626.20,1,4250.00,0.27,40125.00,1.27,8125.00,0.52,1125.00,0.07
12,Exit Long,INTRADAY_BExit,2021-01-07 23:30,627.90,1,4250.00,0.27,40125.00,1.27,8125.00,0.52,1125.00,0.07
13,Entry Short,SELL,2021-01-08 16:00,626.20,1,19000.00,1.21,59125.00,5.59,27750.00,1.77,5250.00,0.34
13,Exit Short,SELL_TG_HIT,2021-01-08 20:30,618.60,1,19000.00,1.21,59125.00,5.59,27750.00,1.77,5250.00,0.34
14,Entry Long,BUY,2021-01-08 22:00,623.35,1,-125.00,-0.01,59000.00,-0.03,2875.00,0.18,8000.00,0.51
14,Exit Long,INTRADAY_BExit,2021-01-08 23:30,623.30,1,-125.00,-0.01,59000.00,-0.03,2875.00,0.18,8000.00,0.51
15,Entry Short,SELL,2021-01-11 10:00,614.05,1,-2375.00,-0.15,56625.00,-0.66,6125.00,0.4,4750.00,0.31
15,Exit Short,BUY,2021-01-11 14:30,615.00,1,-2375.00,-0.15,56625.00,-0.66,6125.00,0.4,4750.00,0.31
16,Entry Long,BUY,2021-01-11 14:30,615.00,1,-1500.00,-0.1,55125.00,-0.42,500.00,0.03,6000.00,0.39
16,Exit Long,SELL,2021-01-11 16:00,614.40,1,-1500.00,-0.1,55125.00,-0.42,500.00,0.03,6000.00,0.39
17,Entry Short,SELL,2021-01-11 16:00,614.40,1,17750.00,1.16,72875.00,5,19625.00,1.28,0,0
17,Exit Short,SELL_TG_HIT,2021-01-11 19:30,607.30,1,17750.00,1.16,72875.00,5,19625.00,1.28,0,0
18,Entry Long,BUY,2021-01-11 21:30,606.00,1,-1125.00,-0.07,71750.00,-0.3,2500.00,0.17,3500.00,0.23
18,Exit Long,SELL,2021-01-11 22:30,605.55,1,-1125.00,-0.07,71750.00,-0.3,2500.00,0.17,3500.00,0.23
19,Entry Short,SELL,2021-01-11 22:30,605.55,1,-250.00,-0.02,71500.00,-0.07,5375.00,0.36,2000.00,0.13
19,Exit Short,INTRADAY_SExit,2021-01-11 23:30,605.65,1,-250.00,-0.02,71500.00,-0.07,5375.00,0.36,2000.00,0.13
20,Entry Long,BUY,2021-01-12 10:00,607.50,1,20000.00,1.32,91500.00,5.38,20000.00,1.32,625.00,0.04
20,Exit Long,BUY_TG_HIT,2021-01-12 15:00,615.50,1,20000.00,1.32,91500.00,5.38,20000.00,1.32,625.00,0.04
21,Entry Short,SELL,2021-01-12 18:00,612.90,1,250.00,0.02,91750.00,0.06,8000.00,0.52,5250.00,0.34
21,Exit Short,BUY,2021-01-12 21:30,612.80,1,250.00,0.02,91750.00,0.06,8000.00,0.52,5250.00,0.34
22,Entry Long,BUY,2021-01-12 21:30,612.80,1,-4500.00,-0.29,87250.00,-1.15,1500.00,0.1,8750.00,0.57
22,Exit Long,SELL,2021-01-12 23:00,611.00,1,-4500.00,-0.29,87250.00,-1.15,1500.00,0.1,8750.00,0.57
23,Entry Short,SELL,2021-01-12 23:00,611.00,1,625.00,0.04,87875.00,0.16,2000.00,0.13,2250.00,0.15
23,Exit Short,INTRADAY_SExit,2021-01-12 23:30,610.75,1,625.00,0.04,87875.00,0.16,2000.00,0.13,2250.00,0.15
24,Entry Long,BUY,2021-01-13 10:00,615.00,1,-9875.00,-0.64,78000.00,-2.55,250.00,0.02,10875.00,0.71
24,Exit Long,SELL,2021-01-13 14:00,611.05,1,-9875.00,-0.64,78000.00,-2.55,250.00,0.02,10875.00,0.71
25,Entry Short,SELL,2021-01-13 14:00,611.05,1,-1375.00,-0.09,76625.00,-0.36,3250.00,0.21,4500.00,0.29
25,Exit Short,BUY,2021-01-13 17:00,611.60,1,-1375.00,-0.09,76625.00,-0.36,3250.00,0.21,4500.00,0.29
26,Entry Long,BUY,2021-01-13 17:00,611.60,1,-2000.00,-0.13,74625.00,-0.53,500.00,0.03,3125.00,0.2
26,Exit Long,SELL,2021-01-13 18:00,610.80,1,-2000.00,-0.13,74625.00,-0.53,500.00,0.03,3125.00,0.2
27,Entry Short,SELL,2021-01-13 18:00,610.80,1,-2875.00,-0.19,71750.00,-0.77,1750.00,0.11,7750.00,0.51
27,Exit Short,BUY,2021-01-13 20:00,611.95,1,-2875.00,-0.19,71750.00,-0.77,1750.00,0.11,7750.00,0.51
28,Entry Long,BUY,2021-01-13 20:00,611.95,1,-875.00,-0.06,70875.00,-0.24,1500.00,0.1,6875.00,0.45
28,Exit Long,SELL,2021-01-13 21:00,611.60,1,-875.00,-0.06,70875.00,-0.24,1500.00,0.1,6875.00,0.45
29,Entry Short,SELL,2021-01-13 21:00,611.60,1,3000.00,0.2,73875.00,0.81,3250.00,0.21,3250.00,0.21
29,Exit Short,INTRADAY_SExit,2021-01-13 23:30,610.40,1,3000.00,0.2,73875.00,0.81,3250.00,0.21,3250.00,0.21
30,Entry Long,BUY,2021-01-14 17:30,609.50,1,13000.00,0.85,86875.00,3.48,15375.00,1.01,250.00,0.02
30,Exit Long,INTRADAY_BExit,2021-01-14 23:30,614.70,1,13000.00,0.85,86875.00,3.48,15375.00,1.01,250.00,0.02
31,Entry Short,SELL,2021-01-15 10:30,612.80,1,7750.00,0.51,94625.00,2,15250.00,1,0,0
31,Exit Short,BUY,2021-01-15 16:00,609.70,1,7750.00,0.51,94625.00,2,15250.00,1,0,0
32,Entry Long,BUY,2021-01-15 16:00,609.70,1,-15125.00,-0.99,79500.00,-3.83,750.00,0.05,17500.00,1.15
32,Exit Long,SELL,2021-01-15 19:30,603.65,1,-15125.00,-0.99,79500.00,-3.83,750.00,0.05,17500.00,1.15
33,Entry Short,SELL,2021-01-15 19:30,603.65,1,-3875.00,-0.26,75625.00,-1.02,2375.00,0.16,12125.00,0.8
33,Exit Short,INTRADAY_SExit,2021-01-15 23:30,605.20,1,-3875.00,-0.26,75625.00,-1.02,2375.00,0.16,12125.00,0.8
34,Entry Long,BUY,2021-01-18 12:00,610.80,1,-2875.00,-0.19,72750.00,-0.77,4125.00,0.27,5000.00,0.33
34,Exit Long,SELL,2021-01-18 15:00,609.65,1,-2875.00,-0.19,72750.00,-0.77,4125.00,0.27,5000.00,0.33
35,Entry Short,SELL,2021-01-18 15:00,609.65,1,6250.00,0.41,79000.00,1.68,7875.00,0.52,3125.00,0.21
35,Exit Short,INTRADAY_SExit,2021-01-18 23:30,607.15,1,6250.00,0.41,79000.00,1.68,7875.00,0.52,3125.00,0.21
36,Entry Long,BUY,2021-01-19 10:00,608.45,1,2750.00,0.18,81750.00,0.73,7375.00,0.48,7875.00,0.52
36,Exit Long,SELL,2021-01-19 18:30,609.55,1,2750.00,0.18,81750.00,0.73,7375.00,0.48,7875.00,0.52
37,Entry Short,SELL,2021-01-19 18:30,609.55,1,-8250.00,-0.54,73500.00,-2.16,125.00,0.01,8250.00,0.54
37,Exit Short,BUY,2021-01-19 19:30,612.85,1,-8250.00,-0.54,73500.00,-2.16,125.00,0.01,8250.00,0.54
38,Entry Long,BUY,2021-01-19 19:30,612.85,1,-5875.00,-0.38,67625.00,-1.57,2250.00,0.15,7125.00,0.47
38,Exit Long,SELL,2021-01-19 21:30,610.50,1,-5875.00,-0.38,67625.00,-1.57,2250.00,0.15,7125.00,0.47
39,Entry Short,SELL,2021-01-19 21:30,610.50,1,-750.00,-0.05,66875.00,-0.2,11125.00,0.73,2250.00,0.15
39,Exit Short,INTRADAY_SExit,2021-01-19 23:30,610.80,1,-750.00,-0.05,66875.00,-0.2,11125.00,0.73,2250.00,0.15
40,Entry Long,BUY,2021-01-20 10:00,609.70,1,6000.00,0.39,72875.00,1.64,12250.00,0.8,2125.00,0.14
40,Exit Long,SELL,2021-01-20 16:00,612.10,1,6000.00,0.39,72875.00,1.64,12250.00,0.8,2125.00,0.14
41,Entry Short,SELL,2021-01-20 16:00,612.10,1,2750.00,0.18,75625.00,0.74,10750.00,0.7,1500.00,0.1
41,Exit Short,BUY,2021-01-20 21:30,611.00,1,2750.00,0.18,75625.00,0.74,10750.00,0.7,1500.00,0.1
42,Entry Long,BUY,2021-01-20 21:30,611.00,1,-250.00,-0.02,75375.00,-0.07,4500.00,0.29,3000.00,0.2
42,Exit Long,INTRADAY_BExit,2021-01-20 23:30,610.90,1,-250.00,-0.02,75375.00,-0.07,4500.00,0.29,3000.00,0.2
43,Entry Short,SELL,2021-01-21 14:00,612.90,1,5375.00,0.35,80750.00,1.43,9500.00,0.62,6500.00,0.42
43,Exit Short,INTRADAY_SExit,2021-01-21 23:30,610.75,1,5375.00,0.35,80750.00,1.43,9500.00,0.62,6500.00,0.42
44,Entry Short,SELL,2021-01-22 10:00,606.15,1,19375.00,1.28,100125.00,5.09,20250.00,1.34,375.00,0.02
44,Exit Short,SELL_TG_HIT,2021-01-22 15:30,598.40,1,19375.00,1.28,100125.00,5.09,20250.00,1.34,375.00,0.02
45,Entry Long,BUY,2021-01-22 18:30,597.70,1,17000.00,1.14,117125.00,4.25,18875.00,1.26,3000.00,0.2
45,Exit Long,BUY_TG_HIT,2021-01-22 20:30,604.50,1,17000.00,1.14,117125.00,4.25,18875.00,1.26,3000.00,0.2
46,Entry Long,BUY,2021-01-25 10:00,611.00,1,-3500.00,-0.23,113625.00,-0.84,3125.00,0.2,6000.00,0.39
46,Exit Long,SELL,2021-01-25 15:30,609.60,1,-3500.00,-0.23,113625.00,-0.84,3125.00,0.2,6000.00,0.39
47,Entry Short,SELL,2021-01-25 15:30,609.60,1,500.00,0.03,114125.00,0.12,2375.00,0.16,4000.00,0.26
47,Exit Short,BUY,2021-01-25 17:30,609.40,1,500.00,0.03,114125.00,0.12,2375.00,0.16,4000.00,0.26
48,Entry Long,BUY,2021-01-25 17:30,609.40,1,-3500.00,-0.23,110625.00,-0.85,625.00,0.04,5125.00,0.34
48,Exit Long,SELL,2021-01-25 18:30,608.00,1,-3500.00,-0.23,110625.00,-0.85,625.00,0.04,5125.00,0.34
49,Entry Short,SELL,2021-01-25 18:30,608.00,1,-2750.00,-0.18,107875.00,-0.67,6625.00,0.44,4625.00,0.3
49,Exit Short,BUY,2021-01-25 23:00,609.10,1,-2750.00,-0.18,107875.00,-0.67,6625.00,0.44,4625.00,0.3
50,Entry Long,BUY,2021-01-25 23:00,609.10,1,1500.00,0.1,109375.00,0.37,1875.00,0.12,0,0
50,Exit Long,INTRADAY_BExit,2021-01-25 23:30,609.70,1,1500.00,0.1,109375.00,0.37,1875.00,0.12,0,0
51,Entry Short,SELL,2021-01-27 10:00,606.05,1,20625.00,1.36,130000.00,5.04,24875.00,1.64,2625.00,0.17
51,Exit Short,SELL_TG_HIT,2021-01-27 20:00,597.80,1,20625.00,1.36,130000.00,5.04,24875.00,1.64,2625.00,0.17
52,Entry Short,SELL,2021-01-27 20:30,596.20,1,-5500.00,-0.37,124500.00,-1.28,2375.00,0.16,9000.00,0.6
52,Exit Short,INTRADAY_SExit,2021-01-27 23:30,598.40,1,-5500.00,-0.37,124500.00,-1.28,2375.00,0.16,9000.00,0.6
53,Entry Long,BUY,2021-01-28 18:30,593.75,1,17125.00,1.15,141625.00,4.03,17125.00,1.15,250.00,0.02
53,Exit Long,BUY_TG_HIT,2021-01-28 19:30,600.60,1,17125.00,1.15,141625.00,4.03,17125.00,1.15,250.00,0.02
54,Entry Short,SELL,2021-01-28 23:00,601.10,1,875.00,0.06,142500.00,0.2,2250.00,0.15,1000.00,0.07
54,Exit Short,INTRADAY_SExit,2021-01-28 23:30,600.75,1,875.00,0.06,142500.00,0.2,2250.00,0.15,1000.00,0.07
55,Entry Long,BUY,2021-01-29 14:30,597.60,1,2000.00,0.13,144500.00,0.45,15875.00,1.06,3125.00,0.21
55,Exit Long,SELL,2021-01-29 22:30,598.40,1,2000.00,0.13,144500.00,0.45,15875.00,1.06,3125.00,0.21
56,Entry Short,SELL,2021-01-29 22:30,598.40,1,4000.00,0.27,148500.00,0.9,5000.00,0.33,4500.00,0.3
56,Exit Short,INTRADAY_SExit,2021-01-29 23:30,596.80,1,4000.00,0.27,148500.00,0.9,5000.00,0.33,4500.00,0.3
57,Entry Long,BUY,2021-02-01 10:00,599.60,1,-31125.00,-2.08,117375.00,-6.94,5500.00,0.37,36500.00,2.43
57,Exit Long,SELL,2021-02-01 13:30,587.15,1,-31125.00,-2.08,117375.00,-6.94,5500.00,0.37,36500.00,2.43
58,Entry Short,SELL,2021-02-01 13:30,587.15,1,-16875.00,-1.15,100500.00,-4.04,625.00,0.04,22000.00,1.5
58,Exit Short,SELL_SL_HIT,2021-02-01 14:30,593.90,1,-16875.00,-1.15,100500.00,-4.04,625.00,0.04,22000.00,1.5
59,Entry Long,BUY,2021-02-01 15:00,592.85,1,2500.00,0.17,103000.00,0.62,10000.00,0.67,6625.00,0.45
59,Exit Long,INTRADAY_BExit,2021-02-01 23:30,593.85,1,2500.00,0.17,103000.00,0.62,10000.00,0.67,6625.00,0.45
60,Entry Short,SELL,2021-02-02 12:00,591.00,1,-500.00,-0.03,102500.00,-0.12,7125.00,0.48,2375.00,0.16
60,Exit Short,BUY,2021-02-02 16:00,591.20,1,-500.00,-0.03,102500.00,-0.12,7125.00,0.48,2375.00,0.16
61,Entry Long,BUY,2021-02-02 16:00,591.20,1,-1250.00,-0.08,101250.00,-0.31,6625.00,0.45,7125.00,0.48
61,Exit Long,INTRADAY_BExit,2021-02-02 23:30,590.70,1,-1250.00,-0.08,101250.00,-0.31,6625.00,0.45,7125.00,0.48
62,Entry Short,SELL,2021-02-03 10:00,589.40,1,-4500.00,-0.31,96750.00,-1.12,4125.00,0.28,6000.00,0.41
62,Exit Short,BUY,2021-02-03 14:30,591.20,1,-4500.00,-0.31,96750.00,-1.12,4125.00,0.28,6000.00,0.41
63,Entry Long,BUY,2021-02-03 14:30,591.20,1,8750.00,0.59,105500.00,2.21,13250.00,0.9,4625.00,0.31
63,Exit Long,SELL,2021-02-03 19:30,594.70,1,8750.00,0.59,105500.00,2.21,13250.00,0.9,4625.00,0.31
64,Entry Short,SELL,2021-02-03 19:30,594.70,1,-4250.00,-0.29,101250.00,-1.05,3250.00,0.22,10250.00,0.69
64,Exit Short,BUY,2021-02-03 21:00,596.40,1,-4250.00,-0.29,101250.00,-1.05,3250.00,0.22,10250.00,0.69
65,Entry Long,BUY,2021-02-03 21:00,596.40,1,2500.00,0.17,103750.00,0.62,4250.00,0.29,750.00,0.05
65,Exit Long,INTRADAY_BExit,2021-02-03 23:30,597.40,1,2500.00,0.17,103750.00,0.62,4250.00,0.29,750.00,0.05
66,Entry Short,SELL,2021-02-04 11:00,595.15,1,-6875.00,-0.46,96875.00,-1.7,750.00,0.05,8875.00,0.6
66,Exit Short,BUY,2021-02-04 12:00,597.90,1,-6875.00,-0.46,96875.00,-1.7,750.00,0.05,8875.00,0.6
67,Entry Long,BUY,2021-02-04 12:00,597.90,1,1875.00,0.13,98750.00,0.47,7500.00,0.5,1250.00,0.08
67,Exit Long,SELL,2021-02-04 16:00,598.65,1,1875.00,0.13,98750.00,0.47,7500.00,0.5,1250.00,0.08
68,Entry Short,SELL,2021-02-04 16:00,598.65,1,2250.00,0.15,101000.00,0.56,6000.00,0.4,1500.00,0.1
68,Exit Short,BUY,2021-02-04 19:30,597.75,1,2250.00,0.15,101000.00,0.56,6000.00,0.4,1500.00,0.1
69,Entry Long,BUY,2021-02-04 19:30,597.75,1,-1500.00,-0.1,99500.00,-0.37,875.00,0.06,6375.00,0.43
69,Exit Long,SELL,2021-02-04 20:30,597.15,1,-1500.00,-0.1,99500.00,-0.37,875.00,0.06,6375.00,0.43
70,Entry Short,SELL,2021-02-04 20:30,597.15,1,875.00,0.06,100375.00,0.22,6375.00,0.43,2250.00,0.15
70,Exit Short,INTRADAY_SExit,2021-02-04 23:30,596.80,1,875.00,0.06,100375.00,0.22,6375.00,0.43,2250.00,0.15
71,Entry Long,BUY,2021-02-05 10:00,598.40,1,15000.00,1,115375.00,3.75,17375.00,1.16,2000.00,0.13
71,Exit Long,BUY_TG_HIT,2021-02-05 17:00,604.40,1,15000.00,1,115375.00,3.75,17375.00,1.16,2000.00,0.13
72,Entry Short,SELL,2021-02-05 19:30,603.15,1,-14625.00,-0.97,100750.00,-3.52,4125.00,0.27,16250.00,1.08
72,Exit Short,INTRADAY_SExit,2021-02-05 23:30,609.00,1,-14625.00,-0.97,100750.00,-3.52,4125.00,0.27,16250.00,1.08
73,Entry Long,BUY,2021-02-08 10:00,610.70,1,17625.00,1.15,118375.00,4.4,20750.00,1.36,2250.00,0.15
73,Exit Long,BUY_TG_HIT,2021-02-08 20:00,617.75,1,17625.00,1.15,118375.00,4.4,20750.00,1.36,2250.00,0.15
74,Entry Long,BUY,2021-02-08 23:00,619.65,1,-875.00,-0.06,117500.00,-0.21,375.00,0.02,2375.00,0.15
74,Exit Long,INTRADAY_BExit,2021-02-08 23:30,619.30,1,-875.00,-0.06,117500.00,-0.21,375.00,0.02,2375.00,0.15
75,Entry Short,SELL,2021-02-09 14:30,623.45,1,-2000.00,-0.13,115500.00,-0.48,1625.00,0.1,4500.00,0.29
75,Exit Short,BUY,2021-02-09 16:00,624.25,1,-2000.00,-0.13,115500.00,-0.48,1625.00,0.1,4500.00,0.29
76,Entry Long,BUY,2021-02-09 16:00,624.25,1,7750.00,0.5,123250.00,1.87,12375.00,0.79,0,0
76,Exit Long,SELL,2021-02-09 21:00,627.35,1,7750.00,0.5,123250.00,1.87,12375.00,0.79,0,0
77,Entry Short,SELL,2021-02-09 21:00,627.35,1,-5375.00,-0.34,117875.00,-1.27,2125.00,0.14,7125.00,0.45
77,Exit Short,INTRADAY_SExit,2021-02-09 23:30,629.50,1,-5375.00,-0.34,117875.00,-1.27,2125.00,0.14,7125.00,0.45
78,Entry Long,BUY,2021-02-10 10:00,636.10,1,1000.00,0.06,118875.00,0.24,6000.00,0.38,2250.00,0.14
78,Exit Long,SELL,2021-02-10 14:30,636.50,1,1000.00,0.06,118875.00,0.24,6000.00,0.38,2250.00,0.14
79,Entry Short,SELL,2021-02-10 14:30,636.50,1,-3750.00,-0.24,115125.00,-0.9,4125.00,0.26,3750.00,0.24
79,Exit Short,BUY,2021-02-10 18:30,638.00,1,-3750.00,-0.24,115125.00,-0.9,4125.00,0.26,3750.00,0.24
80,Entry Long,BUY,2021-02-10 18:30,638.00,1,875.00,0.05,116000.00,0.21,5875.00,0.37,6125.00,0.38
80,Exit Long,SELL,2021-02-10 21:30,638.35,1,875.00,0.05,116000.00,0.21,5875.00,0.37,6125.00,0.38
81,Entry Short,SELL,2021-02-10 21:30,638.35,1,1625.00,0.1,117625.00,0.39,4375.00,0.27,1250.00,0.08
81,Exit Short,INTRADAY_SExit,2021-02-10 23:30,637.70,1,1625.00,0.1,117625.00,0.39,4375.00,0.27,1250.00,0.08
82,Entry Long,BUY,2021-02-11 12:30,636.80,1,-1750.00,-0.11,115875.00,-0.42,1125.00,0.07,4125.00,0.26
82,Exit Long,SELL,2021-02-11 14:00,636.10,1,-1750.00,-0.11,115875.00,-0.42,1125.00,0.07,4125.00,0.26
83,Entry Short,SELL,2021-02-11 14:00,636.10,1,-1375.00,-0.09,114500.00,-0.33,2000.00,0.13,3875.00,0.24
83,Exit Short,BUY,2021-02-11 18:00,636.65,1,-1375.00,-0.09,114500.00,-0.33,2000.00,0.13,3875.00,0.24
84,Entry Long,BUY,2021-02-11 18:00,636.65,1,-4250.00,-0.27,110250.00,-1.03,5125.00,0.32,7125.00,0.45
84,Exit Long,SELL,2021-02-11 20:00,634.95,1,-4250.00,-0.27,110250.00,-1.03,5125.00,0.32,7125.00,0.45
85,Entry Short,SELL,2021-02-11 20:00,634.95,1,-2500.00,-0.16,107750.00,-0.61,3875.00,0.24,4875.00,0.31
85,Exit Short,BUY,2021-02-11 22:30,635.95,1,-2500.00,-0.16,107750.00,-0.61,3875.00,0.24,4875.00,0.31
86,Entry Long,BUY,2021-02-11 22:30,635.95,1,1125.00,0.07,108875.00,0.28,1625.00,0.1,3375.00,0.21
86,Exit Long,INTRADAY_BExit,2021-02-11 23:30,636.40,1,1125.00,0.07,108875.00,0.28,1625.00,0.1,3375.00,0.21
87,Entry Short,SELL,2021-02-12 14:30,632.80,1,-4500.00,-0.28,104375.00,-1.1,1375.00,0.09,5500.00,0.35
87,Exit Short,BUY,2021-02-12 16:30,634.60,1,-4500.00,-0.28,104375.00,-1.1,1375.00,0.09,5500.00,0.35
88,Entry Long,BUY,2021-02-12 16:30,634.60,1,17250.00,1.09,121625.00,4.27,21875.00,1.38,2875.00,0.18
88,Exit Long,INTRADAY_BExit,2021-02-12 23:30,641.50,1,17250.00,1.09,121625.00,4.27,21875.00,1.38,2875.00,0.18
89,Entry Short,SELL,2021-02-15 16:30,643.40,1,-5250.00,-0.33,116375.00,-1.25,4250.00,0.26,5625.00,0.35
89,Exit Short,BUY,2021-02-15 23:00,645.50,1,-5250.00,-0.33,116375.00,-1.25,4250.00,0.26,5625.00,0.35
90,Entry Long,BUY,2021-02-15 23:00,645.50,1,-1250.00,-0.08,115125.00,-0.3,0,0,2000.00,0.12
90,Exit Long,INTRADAY_BExit,2021-02-15 23:30,645.00,1,-1250.00,-0.08,115125.00,-0.3,0,0,2000.00,0.12
91,Entry Short,SELL,2021-02-16 11:30,642.50,1,-1625.00,-0.1,113500.00,-0.39,1500.00,0.09,5000.00,0.31
91,Exit Short,BUY,2021-02-16 15:00,643.15,1,-1625.00,-0.1,113500.00,-0.39,1500.00,0.09,5000.00,0.31
92,Entry Long,BUY,2021-02-16 15:00,643.15,1,875.00,0.05,114375.00,0.21,1500.00,0.09,2625.00,0.16
92,Exit Long,SELL,2021-02-16 17:00,643.50,1,875.00,0.05,114375.00,0.21,1500.00,0.09,2625.00,0.16
93,Entry Short,SELL,2021-02-16 17:00,643.50,1,-3125.00,-0.19,111250.00,-0.75,6125.00,0.38,5625.00,0.35
93,Exit Short,BUY,2021-02-16 21:30,644.75,1,-3125.00,-0.19,111250.00,-0.75,6125.00,0.38,5625.00,0.35
94,Entry Long,BUY,2021-02-16 21:30,644.75,1,4750.00,0.29,116000.00,1.16,5250.00,0.33,2125.00,0.13
94,Exit Long,INTRADAY_BExit,2021-02-16 23:30,646.65,1,4750.00,0.29,116000.00,1.16,5250.00,0.33,2125.00,0.13
95,Entry Short,SELL,2021-02-17 10:00,645.20,1,5375.00,0.33,121375.00,1.29,11875.00,0.74,375.00,0.02
95,Exit Short,BUY,2021-02-17 18:00,643.05,1,5375.00,0.33,121375.00,1.29,11875.00,0.74,375.00,0.02
96,Entry Long,BUY,2021-02-17 18:00,643.05,1,-125.00,-0.01,121250.00,-0.03,3500.00,0.22,6375.00,0.4
96,Exit Long,SELL,2021-02-17 20:30,643.00,1,-125.00,-0.01,121250.00,-0.03,3500.00,0.22,6375.00,0.4
97,Entry Short,SELL,2021-02-17 20:30,643.00,1,-2500.00,-0.16,118750.00,-0.59,3875.00,0.24,3625.00,0.23
97,Exit Short,BUY,2021-02-17 22:30,644.00,1,-2500.00,-0.16,118750.00,-0.59,3875.00,0.24,3625.00,0.23
98,Entry Long,BUY,2021-02-17 22:30,644.00,1,2000.00,0.12,120750.00,0.48,3500.00,0.22,750.00,0.05
98,Exit Long,INTRADAY_BExit,2021-02-17 23:30,644.80,1,2000.00,0.12,120750.00,0.48,3500.00,0.22,750.00,0.05
99,Entry Short,SELL,2021-02-18 19:30,653.75,1,-3625.00,-0.22,117125.00,-0.86,1500.00,0.09,4875.00,0.3
99,Exit Short,BUY,2021-02-18 22:30,655.20,1,-3625.00,-0.22,117125.00,-0.86,1500.00,0.09,4875.00,0.3
100,Entry Long,BUY,2021-02-18 22:30,655.20,1,4125.00,0.25,121250.00,0.99,5000.00,0.31,500.00,0.03
100,Exit Long,INTRADAY_BExit,2021-02-18 23:30,656.85,1,4125.00,0.25,121250.00,0.99,5000.00,0.31,500.00,0.03
101,Entry Short,SELL,2021-02-19 10:00,654.25,1,-4500.00,-0.28,116750.00,-1.07,125.00,0.01,8125.00,0.5
101,Exit Short,BUY,2021-02-19 11:00,656.05,1,-4500.00,-0.28,116750.00,-1.07,125.00,0.01,8125.00,0.5
102,Entry Long,BUY,2021-02-19 11:00,656.05,1,22000.00,1.34,138750.00,5.28,24125.00,1.47,2125.00,0.13
102,Exit Long,BUY_TG_HIT,2021-02-19 12:00,664.85,1,22000.00,1.34,138750.00,5.28,24125.00,1.47,2125.00,0.13
103,Entry Short,SELL,2021-02-19 14:00,663.70,1,-8250.00,-0.5,130500.00,-1.88,1500.00,0.09,14750.00,0.89
103,Exit Short,BUY,2021-02-19 15:00,667.00,1,-8250.00,-0.5,130500.00,-1.88,1500.00,0.09,14750.00,0.89
