Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-02-01 06:30,73950,1,-33690.00,-1.52,-33690.00,-11.23,14280.00,0.64,42480.00,1.91
1,Exit Long,BUY_SL_HIT,2021-02-01 08:00,72827,1,-33690.00,-1.52,-33690.00,-11.23,14280.00,0.64,42480.00,1.91
2,Entry Long,BUY,2021-02-01 12:30,73960,1,-14400.00,-0.65,-48090.00,-5.41,4470.00,0.2,16710.00,0.75
2,Exit Long,SELL,2021-02-01 13:30,73480,1,-14400.00,-0.65,-48090.00,-5.41,4470.00,0.2,16710.00,0.75
3,Entry Short,SELL,2021-02-01 13:30,73480,1,28260.00,1.28,-19830.00,11.22,51990.00,2.36,24000.00,1.09
3,Exit Short,SELL_TG_HIT,2021-02-01 16:00,72538,1,28260.00,1.28,-19830.00,11.22,51990.00,2.36,24000.00,1.09
4,Entry Short,SELL,2021-02-02 07:30,70734,1,21000.00,0.99,1170.00,7.5,31020.00,1.46,27480.00,1.29
4,Exit Short,SELL_TG_HIT,2021-02-02 12:00,70034,1,21000.00,0.99,1170.00,7.5,31020.00,1.46,27480.00,1.29
5,Entry Long,BUY,2021-02-03 12:30,68850,1,-5730.00,-0.28,-4560.00,-1.9,8280.00,0.4,19230.00,0.93
5,Exit Long,INTRADAY_BExit,2021-02-03 18:00,68659,1,-5730.00,-0.28,-4560.00,-1.9,8280.00,0.4,19230.00,0.93
6,Entry Short,SELL,2021-02-04 04:30,67702,1,-9060.00,-0.45,-13620.00,-3.07,14250.00,0.7,11160.00,0.55
6,Exit Short,BUY,2021-02-04 07:30,68004,1,-9060.00,-0.45,-13620.00,-3.07,14250.00,0.7,11160.00,0.55
7,Entry Long,BUY,2021-02-04 07:30,68004,1,-10170.00,-0.5,-23790.00,-3.55,5400.00,0.26,18870.00,0.92
7,Exit Long,SELL,2021-02-04 09:30,67665,1,-10170.00,-0.5,-23790.00,-3.55,5400.00,0.26,18870.00,0.92
8,Entry Short,SELL,2021-02-04 09:30,67665,1,24720.00,1.22,930.00,8.95,31920.00,1.57,12240.00,0.6
8,Exit Short,SELL_TG_HIT,2021-02-04 15:00,66841,1,24720.00,1.22,930.00,8.95,31920.00,1.57,12240.00,0.6
9,Entry Long,BUY,2021-02-05 04:30,67275,1,24960.00,1.24,25890.00,8.29,28410.00,1.41,1050.00,0.05
9,Exit Long,BUY_TG_HIT,2021-02-05 08:30,68107,1,24960.00,1.24,25890.00,8.29,28410.00,1.41,1050.00,0.05
10,Entry Short,SELL,2021-02-05 12:30,67777,1,-20010.00,-0.98,5880.00,-6.14,14910.00,0.73,22140.00,1.09
10,Exit Short,BUY,2021-02-05 16:30,68444,1,-20010.00,-0.98,5880.00,-6.14,14910.00,0.73,22140.00,1.09
11,Entry Long,BUY,2021-02-05 16:30,68444,1,6540.00,0.32,12420.00,2.14,10350.00,0.5,2340.00,0.11
11,Exit Long,INTRADAY_BExit,2021-02-05 18:00,68662,1,6540.00,0.32,12420.00,2.14,10350.00,0.5,2340.00,0.11
12,Entry Long,BUY,2021-02-08 07:30,69007,1,-9210.00,-0.44,3210.00,-2.95,5490.00,0.27,12660.00,0.61
12,Exit Long,SELL,2021-02-08 09:00,68700,1,-9210.00,-0.44,3210.00,-2.95,5490.00,0.27,12660.00,0.61
13,Entry Short,SELL,2021-02-08 09:00,68700,1,-16410.00,-0.8,-13200.00,-5.41,600.00,0.03,20040.00,0.97
13,Exit Short,BUY,2021-02-08 12:00,69247,1,-16410.00,-0.8,-13200.00,-5.41,600.00,0.03,20040.00,0.97
14,Entry Long,BUY,2021-02-08 12:00,69247,1,22950.00,1.1,9750.00,8,28050.00,1.35,4980.00,0.24
14,Exit Long,BUY_TG_HIT,2021-02-08 14:30,70012,1,22950.00,1.1,9750.00,8,28050.00,1.35,4980.00,0.24
15,Entry Long,BUY,2021-02-09 04:30,70300,1,-10980.00,-0.52,-1230.00,-3.54,4320.00,0.2,11310.00,0.54
15,Exit Long,SELL,2021-02-09 06:30,69934,1,-10980.00,-0.52,-1230.00,-3.54,4320.00,0.2,11310.00,0.54
16,Entry Short,SELL,2021-02-09 06:30,69934,1,-20880.00,-1,-22110.00,-6.99,2220.00,0.11,24690.00,1.18
16,Exit Short,BUY,2021-02-09 10:30,70630,1,-20880.00,-1,-22110.00,-6.99,2220.00,0.11,24690.00,1.18
17,Entry Long,BUY,2021-02-09 10:30,70630,1,-5040.00,-0.24,-27150.00,-1.81,2970.00,0.14,7800.00,0.37
17,Exit Long,SELL,2021-02-09 11:30,70462,1,-5040.00,-0.24,-27150.00,-1.81,2970.00,0.14,7800.00,0.37
18,Entry Short,SELL,2021-02-09 11:30,70462,1,28530.00,1.35,1380.00,10.46,43860.00,2.07,4710.00,0.22
18,Exit Short,SELL_TG_HIT,2021-02-09 15:00,69511,1,28530.00,1.35,1380.00,10.46,43860.00,2.07,4710.00,0.22
19,Entry Short,SELL,2021-02-10 08:30,69541,1,23220.00,1.11,24600.00,7.7,34110.00,1.64,13740.00,0.66
19,Exit Short,SELL_TG_HIT,2021-02-10 16:30,68767,1,23220.00,1.11,24600.00,7.7,34110.00,1.64,13740.00,0.66
20,Entry Long,BUY,2021-02-11 07:30,69089,1,-21450.00,-1.03,3150.00,-6.61,5430.00,0.26,22470.00,1.08
20,Exit Long,SELL,2021-02-11 17:30,68374,1,-21450.00,-1.03,3150.00,-6.61,5430.00,0.26,22470.00,1.08
21,Entry Short,SELL,2021-02-11 17:30,68374,1,-5220.00,-0.25,-2070.00,-1.72,1710.00,0.08,6180.00,0.3
21,Exit Short,INTRADAY_SExit,2021-02-11 18:00,68548,1,-5220.00,-0.25,-2070.00,-1.72,1710.00,0.08,6180.00,0.3
22,Entry Long,BUY,2021-02-12 06:00,68929,1,-10140.00,-0.49,-12210.00,-3.4,840.00,0.04,10950.00,0.53
22,Exit Long,SELL,2021-02-12 08:00,68591,1,-10140.00,-0.49,-12210.00,-3.4,840.00,0.04,10950.00,0.53
23,Entry Short,SELL,2021-02-12 08:00,68591,1,-4290.00,-0.21,-16500.00,-1.49,7830.00,0.38,6270.00,0.3
23,Exit Short,BUY,2021-02-12 10:00,68734,1,-4290.00,-0.21,-16500.00,-1.49,7830.00,0.38,6270.00,0.3
24,Entry Long,BUY,2021-02-12 10:00,68734,1,10380.00,0.5,-6120.00,3.66,22980.00,1.11,10290.00,0.5
24,Exit Long,INTRADAY_BExit,2021-02-12 18:00,69080,1,10380.00,0.5,-6120.00,3.66,22980.00,1.11,10290.00,0.5
25,Entry Long,BUY,2021-02-15 09:00,69904,1,-1320.00,-0.06,-7440.00,-0.45,10110.00,0.48,3600.00,0.17
25,Exit Long,SELL,2021-02-15 14:00,69860,1,-1320.00,-0.06,-7440.00,-0.45,10110.00,0.48,3600.00,0.17
26,Entry Short,SELL,2021-02-15 14:00,69860,1,-4080.00,-0.19,-11520.00,-1.39,2550.00,0.12,8040.00,0.38
26,Exit Short,INTRADAY_SExit,2021-02-15 18:00,69996,1,-4080.00,-0.19,-11520.00,-1.39,2550.00,0.12,8040.00,0.38
27,Entry Long,BUY,2021-02-16 04:30,70775,1,-19050.00,-0.9,-30570.00,-6.6,600.00,0.03,21300.00,1
27,Exit Long,SELL,2021-02-16 08:00,70140,1,-19050.00,-0.9,-30570.00,-6.6,600.00,0.03,21300.00,1
28,Entry Short,SELL,2021-02-16 08:00,70140,1,46200.00,2.2,15630.00,17.15,53700.00,2.55,13950.00,0.66
28,Exit Short,SELL_TG_HIT,2021-02-16 14:00,68600,1,46200.00,2.2,15630.00,17.15,53700.00,2.55,13950.00,0.66
29,Entry Short,SELL,2021-02-16 17:00,69150,1,-7050.00,-0.34,8580.00,-2.23,4410.00,0.21,7950.00,0.38
29,Exit Short,INTRADAY_SExit,2021-02-16 18:00,69385,1,-7050.00,-0.34,8580.00,-2.23,4410.00,0.21,7950.00,0.38
30,Entry Short,SELL,2021-02-17 06:30,69216,1,2460.00,0.12,11040.00,0.8,19680.00,0.95,5850.00,0.28
30,Exit Short,BUY,2021-02-17 13:00,69134,1,2460.00,0.12,11040.00,0.8,19680.00,0.95,5850.00,0.28
31,Entry Long,BUY,2021-02-17 13:00,69134,1,3750.00,0.18,14790.00,1.21,10620.00,0.51,21660.00,1.04
31,Exit Long,INTRADAY_BExit,2021-02-17 18:00,69259,1,3750.00,0.18,14790.00,1.21,10620.00,0.51,21660.00,1.04
32,Entry Short,SELL,2021-02-18 10:00,69100,1,14250.00,0.69,29040.00,4.53,24900.00,1.2,4350.00,0.21
32,Exit Short,INTRADAY_SExit,2021-02-18 18:00,68625,1,14250.00,0.69,29040.00,4.53,24900.00,1.2,4350.00,0.21
33,Entry Long,BUY,2021-02-19 09:00,68425,1,39750.00,1.94,68790.00,12.08,42120.00,2.05,6510.00,0.32
33,Exit Long,BUY_TG_HIT,2021-02-19 14:00,69750,1,39750.00,1.94,68790.00,12.08,42120.00,2.05,6510.00,0.32
34,Entry Short,SELL,2021-02-22 07:30,69235,1,-20880.00,-1.01,47910.00,-5.66,7620.00,0.37,25530.00,1.23
34,Exit Short,BUY,2021-02-22 15:00,69931,1,-20880.00,-1.01,47910.00,-5.66,7620.00,0.37,25530.00,1.23
35,Entry Long,BUY,2021-02-22 15:00,69931,1,14340.00,0.68,62250.00,4.12,16650.00,0.79,3090.00,0.15
35,Exit Long,INTRADAY_BExit,2021-02-22 18:00,70409,1,14340.00,0.68,62250.00,4.12,16650.00,0.79,3090.00,0.15
36,Entry Short,SELL,2021-02-23 09:30,70126,1,26280.00,1.25,88530.00,7.25,40860.00,1.94,9720.00,0.46
36,Exit Short,SELL_TG_HIT,2021-02-23 15:00,69250,1,26280.00,1.25,88530.00,7.25,40860.00,1.94,9720.00,0.46
37,Entry Long,BUY,2021-02-24 09:00,69539,1,-16080.00,-0.77,72450.00,-4.14,10710.00,0.51,21090.00,1.01
37,Exit Long,SELL,2021-02-24 14:00,69003,1,-16080.00,-0.77,72450.00,-4.14,10710.00,0.51,21090.00,1.01
38,Entry Short,SELL,2021-02-24 14:00,69003,1,-17250.00,-0.83,55200.00,-4.63,10470.00,0.51,20880.00,1.01
38,Exit Short,BUY,2021-02-24 16:30,69578,1,-17250.00,-0.83,55200.00,-4.63,10470.00,0.51,20880.00,1.01
39,Entry Long,BUY,2021-02-24 16:30,69578,1,-1440.00,-0.07,53760.00,-0.41,5970.00,0.29,4590.00,0.22
39,Exit Long,INTRADAY_BExit,2021-02-24 18:00,69530,1,-1440.00,-0.07,53760.00,-0.41,5970.00,0.29,4590.00,0.22
40,Entry Short,SELL,2021-02-25 08:30,69745,1,-19920.00,-0.95,33840.00,-5.63,1950.00,0.09,20130.00,0.96
40,Exit Short,BUY,2021-02-25 11:00,70409,1,-19920.00,-0.95,33840.00,-5.63,1950.00,0.09,20130.00,0.96
41,Entry Long,BUY,2021-02-25 11:00,70409,1,-13410.00,-0.63,20430.00,-4.02,300.00,0.01,18990.00,0.9
41,Exit Long,SELL,2021-02-25 12:00,69962,1,-13410.00,-0.63,20430.00,-4.02,300.00,0.01,18990.00,0.9
42,Entry Short,SELL,2021-02-25 12:00,69962,1,21150.00,1.01,41580.00,6.6,24210.00,1.15,12180.00,0.58
42,Exit Short,INTRADAY_SExit,2021-02-25 18:00,69257,1,21150.00,1.01,41580.00,6.6,24210.00,1.15,12180.00,0.58
43,Entry Long,BUY,2021-02-26 10:30,68550,1,-12870.00,-0.63,28710.00,-3.77,6210.00,0.3,15030.00,0.73
43,Exit Long,SELL,2021-02-26 15:00,68121,1,-12870.00,-0.63,28710.00,-3.77,6210.00,0.3,15030.00,0.73
44,Entry Short,SELL,2021-02-26 15:00,68121,1,18300.00,0.9,47010.00,5.57,25050.00,1.23,1950.00,0.1
44,Exit Short,SELL_TG_HIT,2021-02-26 16:30,67511,1,18300.00,0.9,47010.00,5.57,25050.00,1.23,1950.00,0.1
45,Entry Long,BUY,2021-03-01 04:30,69688,1,-9030.00,-0.43,37980.00,-2.6,4170.00,0.2,12540.00,0.6
45,Exit Long,SELL,2021-03-01 13:30,69387,1,-9030.00,-0.43,37980.00,-2.6,4170.00,0.2,12540.00,0.6
46,Entry Short,SELL,2021-03-01 13:30,69387,1,11310.00,0.54,49290.00,3.35,12330.00,0.59,14550.00,0.7
46,Exit Short,INTRADAY_SExit,2021-03-01 18:00,69010,1,11310.00,0.54,49290.00,3.35,12330.00,0.59,14550.00,0.7
47,Entry Long,BUY,2021-03-02 10:30,68084,1,25350.00,1.24,74640.00,7.26,31140.00,1.52,60.00,0
47,Exit Long,BUY_TG_HIT,2021-03-02 17:00,68929,1,25350.00,1.24,74640.00,7.26,31140.00,1.52,60.00,0
48,Entry Short,SELL,2021-03-03 06:30,68761,1,-6900.00,-0.33,67740.00,-1.84,990.00,0.05,9180.00,0.45
48,Exit Short,BUY,2021-03-03 08:00,68991,1,-6900.00,-0.33,67740.00,-1.84,990.00,0.05,9180.00,0.45
49,Entry Long,BUY,2021-03-03 08:00,68991,1,-7650.00,-0.37,60090.00,-2.08,570.00,0.03,7950.00,0.38
49,Exit Long,SELL,2021-03-03 10:00,68736,1,-7650.00,-0.37,60090.00,-2.08,570.00,0.03,7950.00,0.38
50,Entry Short,SELL,2021-03-03 10:00,68736,1,31680.00,1.54,91770.00,8.8,38850.00,1.88,0,0
50,Exit Short,SELL_TG_HIT,2021-03-03 13:30,67680,1,31680.00,1.54,91770.00,8.8,38850.00,1.88,0,0
51,Entry Short,SELL,2021-03-04 06:30,67171,1,5550.00,0.28,97320.00,1.42,29130.00,1.45,10500.00,0.52
51,Exit Short,BUY,2021-03-04 12:00,66986,1,5550.00,0.28,97320.00,1.42,29130.00,1.45,10500.00,0.52
52,Entry Long,BUY,2021-03-04 12:00,66986,1,-29820.00,-1.48,67500.00,-7.51,22620.00,1.13,34740.00,1.73
52,Exit Long,INTRADAY_BExit,2021-03-04 18:00,65992,1,-29820.00,-1.48,67500.00,-7.51,22620.00,1.13,34740.00,1.73
53,Entry Short,SELL,2021-03-05 04:30,65539,1,-2580.00,-0.13,64920.00,-0.7,11190.00,0.57,3840.00,0.2
53,Exit Short,BUY,2021-03-05 10:30,65625,1,-2580.00,-0.13,64920.00,-0.7,11190.00,0.57,3840.00,0.2
54,Entry Long,BUY,2021-03-05 10:30,65625,1,-14550.00,-0.74,50370.00,-3.99,14220.00,0.72,22500.00,1.14
54,Exit Long,SELL,2021-03-05 17:00,65140,1,-14550.00,-0.74,50370.00,-3.99,14220.00,0.72,22500.00,1.14
55,Entry Short,SELL,2021-03-05 17:00,65140,1,-13290.00,-0.68,37080.00,-3.79,1800.00,0.09,13560.00,0.69
55,Exit Short,INTRADAY_SExit,2021-03-05 18:00,65583,1,-13290.00,-0.68,37080.00,-3.79,1800.00,0.09,13560.00,0.69
56,Entry Long,BUY,2021-03-08 04:30,66526,1,-20970.00,-1.05,16110.00,-6.22,1380.00,0.07,24060.00,1.21
56,Exit Long,BUY_SL_HIT,2021-03-08 09:30,65827,1,-20970.00,-1.05,16110.00,-6.22,1380.00,0.07,24060.00,1.21
57,Entry Short,SELL,2021-03-08 12:00,65703,1,-2760.00,-0.14,13350.00,-0.87,13680.00,0.69,11610.00,0.59
57,Exit Short,INTRADAY_SExit,2021-03-08 18:00,65795,1,-2760.00,-0.14,13350.00,-0.87,13680.00,0.69,11610.00,0.59
58,Entry Long,BUY,2021-03-09 04:30,66091,1,25740.00,1.3,39090.00,8.21,25740.00,1.3,5700.00,0.29
58,Exit Long,BUY_TG_HIT,2021-03-09 11:30,66949,1,25740.00,1.3,39090.00,8.21,25740.00,1.3,5700.00,0.29
59,Entry Long,BUY,2021-03-09 14:00,67042,1,10140.00,0.5,49230.00,2.99,12240.00,0.61,420.00,0.02
59,Exit Long,INTRADAY_BExit,2021-03-09 18:00,67380,1,10140.00,0.5,49230.00,2.99,12240.00,0.61,420.00,0.02
60,Entry Short,SELL,2021-03-10 06:00,66864,1,-18210.00,-0.91,31020.00,-5.21,10260.00,0.51,21300.00,1.06
60,Exit Short,INTRADAY_SExit,2021-03-10 18:00,67471,1,-18210.00,-0.91,31020.00,-5.21,10260.00,0.51,21300.00,1.06
61,Entry Long,BUY,2021-03-11 12:00,67845,1,-15810.00,-0.78,15210.00,-4.78,7620.00,0.37,25290.00,1.24
61,Exit Long,SELL,2021-03-11 15:00,67318,1,-15810.00,-0.78,15210.00,-4.78,7620.00,0.37,25290.00,1.24
62,Entry Short,SELL,2021-03-11 15:00,67318,1,-3060.00,-0.15,12150.00,-0.97,4710.00,0.23,7290.00,0.36
62,Exit Short,INTRADAY_SExit,2021-03-11 18:00,67420,1,-3060.00,-0.15,12150.00,-0.97,4710.00,0.23,7290.00,0.36
63,Entry Short,SELL,2021-03-12 06:00,67121,1,20370.00,1.01,32520.00,6.53,24630.00,1.22,270.00,0.01
63,Exit Short,SELL_TG_HIT,2021-03-12 09:30,66442,1,20370.00,1.01,32520.00,6.53,24630.00,1.22,270.00,0.01
64,Entry Short,SELL,2021-03-12 14:30,66050,1,-13170.00,-0.66,19350.00,-3.96,2040.00,0.1,15270.00,0.77
64,Exit Short,BUY,2021-03-12 15:00,66489,1,-13170.00,-0.66,19350.00,-3.96,2040.00,0.1,15270.00,0.77
65,Entry Long,BUY,2021-03-12 15:00,66489,1,9330.00,0.47,28680.00,2.92,10590.00,0.53,8100.00,0.41
65,Exit Long,INTRADAY_BExit,2021-03-12 18:00,66800,1,9330.00,0.47,28680.00,2.92,10590.00,0.53,8100.00,0.41
66,Entry Short,SELL,2021-03-16 05:00,67498,1,-7260.00,-0.36,21420.00,-2.21,1410.00,0.07,9480.00,0.47
66,Exit Short,BUY,2021-03-16 06:00,67740,1,-7260.00,-0.36,21420.00,-2.21,1410.00,0.07,9480.00,0.47
67,Entry Long,BUY,2021-03-16 06:00,67740,1,-7950.00,-0.39,13470.00,-2.47,420.00,0.02,8670.00,0.43
67,Exit Long,SELL,2021-03-16 07:00,67475,1,-7950.00,-0.39,13470.00,-2.47,420.00,0.02,8670.00,0.43
68,Entry Short,SELL,2021-03-16 07:00,67475,1,16350.00,0.81,29820.00,5.22,20220.00,1,1020.00,0.05
68,Exit Short,INTRADAY_SExit,2021-03-17 03:30,66930,1,16350.00,0.81,29820.00,5.22,20220.00,1,1020.00,0.05
69,Entry Long,BUY,2021-03-17 07:00,67169,1,2730.00,0.14,32550.00,0.83,6960.00,0.35,11010.00,0.55
69,Exit Long,INTRADAY_BExit,2021-03-18 04:00,67260,1,2730.00,0.14,32550.00,0.83,6960.00,0.35,11010.00,0.55
70,Entry Short,SELL,2021-03-18 09:00,67720,1,23100.00,1.14,55650.00,6.95,24990.00,1.23,3270.00,0.16
70,Exit Short,SELL_TG_HIT,2021-03-18 13:30,66950,1,23100.00,1.14,55650.00,6.95,24990.00,1.23,3270.00,0.16
71,Entry Long,BUY,2021-03-18 16:00,67626,1,-14670.00,-0.72,40980.00,-4.12,8220.00,0.41,14670.00,0.72
71,Exit Long,INTRADAY_BExit,2021-03-19 03:30,67137,1,-14670.00,-0.72,40980.00,-4.12,8220.00,0.41,14670.00,0.72
72,Entry Long,BUY,2021-03-19 07:00,67420,1,-7200.00,-0.36,33780.00,-2.11,3720.00,0.18,8070.00,0.4
72,Exit Long,SELL,2021-03-19 10:00,67180,1,-7200.00,-0.36,33780.00,-2.11,3720.00,0.18,8070.00,0.4
73,Entry Short,SELL,2021-03-19 10:00,67180,1,-14670.00,-0.73,19110.00,-4.4,2010.00,0.1,14880.00,0.74
73,Exit Short,BUY,2021-03-19 12:30,67669,1,-14670.00,-0.73,19110.00,-4.4,2010.00,0.1,14880.00,0.74
74,Entry Long,BUY,2021-03-19 12:30,67669,1,-6480.00,-0.32,12630.00,-2.03,2220.00,0.11,15510.00,0.76
74,Exit Long,INTRADAY_BExit,2021-03-19 18:00,67453,1,-6480.00,-0.32,12630.00,-2.03,2220.00,0.11,15510.00,0.76
75,Entry Short,SELL,2021-03-22 04:30,66593,1,21570.00,1.08,34200.00,6.9,25200.00,1.26,960.00,0.05
75,Exit Short,SELL_TG_HIT,2021-03-22 09:00,65874,1,21570.00,1.08,34200.00,6.9,25200.00,1.26,960.00,0.05
76,Entry Long,BUY,2021-03-22 10:30,66179,1,-4590.00,-0.23,29610.00,-1.37,8160.00,0.41,10050.00,0.51
76,Exit Long,INTRADAY_BExit,2021-03-23 03:30,66026,1,-4590.00,-0.23,29610.00,-1.37,8160.00,0.41,10050.00,0.51
77,Entry Short,SELL,2021-03-23 05:30,66000,1,-6000.00,-0.3,23610.00,-1.82,2070.00,0.1,7500.00,0.38
77,Exit Short,BUY,2021-03-23 06:00,66200,1,-6000.00,-0.3,23610.00,-1.82,2070.00,0.1,7500.00,0.38
78,Entry Long,BUY,2021-03-23 06:00,66200,1,-5640.00,-0.28,17970.00,-1.74,2250.00,0.11,7860.00,0.4
78,Exit Long,SELL,2021-03-23 09:30,66012,1,-5640.00,-0.28,17970.00,-1.74,2250.00,0.11,7860.00,0.4
79,Entry Short,SELL,2021-03-23 09:30,66012,1,-7140.00,-0.36,10830.00,-2.25,3060.00,0.15,8910.00,0.45
79,Exit Short,BUY,2021-03-23 13:00,66250,1,-7140.00,-0.36,10830.00,-2.25,3060.00,0.15,8910.00,0.45
80,Entry Long,BUY,2021-03-23 13:00,66250,1,-22110.00,-1.11,-11280.00,-7.11,2220.00,0.11,27360.00,1.38
80,Exit Long,BUY_SL_HIT,2021-03-23 13:30,65513,1,-22110.00,-1.11,-11280.00,-7.11,2220.00,0.11,27360.00,1.38
81,Entry Short,SELL,2021-03-23 15:30,65275,1,4080.00,0.21,-7200.00,1.41,13950.00,0.71,4500.00,0.23
81,Exit Short,INTRADAY_SExit,2021-03-24 03:30,65139,1,4080.00,0.21,-7200.00,1.41,13950.00,0.71,4500.00,0.23
82,Entry Short,SELL,2021-03-24 06:30,65064,1,-9330.00,-0.48,-16530.00,-3.19,180.00,0.01,10080.00,0.52
82,Exit Short,BUY,2021-03-24 09:00,65375,1,-9330.00,-0.48,-16530.00,-3.19,180.00,0.01,10080.00,0.52
83,Entry Long,BUY,2021-03-24 09:00,65375,1,-6480.00,-0.33,-23010.00,-2.29,7680.00,0.39,6480.00,0.33
83,Exit Long,INTRADAY_BExit,2021-03-25 03:30,65159,1,-6480.00,-0.33,-23010.00,-2.29,7680.00,0.39,6480.00,0.33
84,Entry Short,SELL,2021-03-25 04:30,65075,1,28800.00,1.48,5790.00,10.4,30750.00,1.58,3690.00,0.19
84,Exit Short,SELL_TG_HIT,2021-03-25 12:00,64115,1,28800.00,1.48,5790.00,10.4,30750.00,1.58,3690.00,0.19
85,Entry Long,BUY,2021-03-25 14:00,64574,1,12030.00,0.62,17820.00,3.93,17910.00,0.92,1170.00,0.06
85,Exit Long,INTRADAY_BExit,2021-03-26 03:30,64975,1,12030.00,0.62,17820.00,3.93,17910.00,0.92,1170.00,0.06
86,Entry Short,SELL,2021-03-26 11:30,64805,1,14820.00,0.76,32640.00,4.66,14820.00,0.76,8250.00,0.42
86,Exit Short,INTRADAY_SExit,2021-03-29 11:30,64311,1,14820.00,0.76,32640.00,4.66,14820.00,0.76,8250.00,0.42
87,Entry Short,SELL,2021-03-29 12:00,64433,1,13710.00,0.71,46350.00,4.12,21990.00,1.14,5610.00,0.29
87,Exit Short,INTRADAY_SExit,2021-03-30 03:30,63976,1,13710.00,0.71,46350.00,4.12,21990.00,1.14,5610.00,0.29
88,Entry Short,SELL,2021-03-30 04:30,63900,1,19500.00,1.02,65850.00,5.63,25020.00,1.31,8550.00,0.45
88,Exit Short,SELL_TG_HIT,2021-03-30 15:30,63250,1,19500.00,1.02,65850.00,5.63,25020.00,1.31,8550.00,0.45
89,Entry Long,BUY,2021-03-31 06:30,62895,1,20580.00,1.09,86430.00,5.63,22050.00,1.17,5490.00,0.29
89,Exit Long,BUY_TG_HIT,2021-03-31 16:30,63581,1,20580.00,1.09,86430.00,5.63,22050.00,1.17,5490.00,0.29
90,Entry Long,BUY,2021-04-01 12:30,63962,1,21840.00,1.14,108270.00,5.65,24840.00,1.29,630.00,0.03
90,Exit Long,BUY_TG_HIT,2021-04-01 15:30,64690,1,21840.00,1.14,108270.00,5.65,24840.00,1.29,630.00,0.03
91,Entry Short,SELL,2021-04-05 05:30,64865,1,-8280.00,-0.43,99990.00,-2.03,11760.00,0.6,14130.00,0.73
91,Exit Short,BUY,2021-04-05 12:00,65141,1,-8280.00,-0.43,99990.00,-2.03,11760.00,0.6,14130.00,0.73
92,Entry Long,BUY,2021-04-05 12:00,65141,1,-8760.00,-0.45,91230.00,-2.19,11670.00,0.6,11700.00,0.6
92,Exit Long,SELL,2021-04-05 16:30,64849,1,-8760.00,-0.45,91230.00,-2.19,11670.00,0.6,11700.00,0.6
93,Entry Short,SELL,2021-04-05 16:30,64849,1,-9030.00,-0.46,82200.00,-2.31,10470.00,0.54,9030.00,0.46
93,Exit Short,INTRADAY_SExit,2021-04-06 03:30,65150,1,-9030.00,-0.46,82200.00,-2.31,10470.00,0.54,9030.00,0.46
94,Entry Long,BUY,2021-04-06 06:00,65428,1,20160.00,1.03,102360.00,5.27,21120.00,1.08,12540.00,0.64
94,Exit Long,BUY_TG_HIT,2021-04-06 16:00,66100,1,20160.00,1.03,102360.00,5.27,21120.00,1.08,12540.00,0.64
95,Entry Long,BUY,2021-04-07 06:30,66194,1,-7080.00,-0.36,95280.00,-1.76,7500.00,0.38,8820.00,0.44
95,Exit Long,SELL,2021-04-07 11:30,65958,1,-7080.00,-0.36,95280.00,-1.76,7500.00,0.38,8820.00,0.44
96,Entry Short,SELL,2021-04-07 11:30,65958,1,-14490.00,-0.73,80790.00,-3.67,1320.00,0.07,15930.00,0.81
96,Exit Short,BUY,2021-04-07 14:00,66441,1,-14490.00,-0.73,80790.00,-3.67,1320.00,0.07,15930.00,0.81
97,Entry Long,BUY,2021-04-07 14:00,66441,1,-1230.00,-0.06,79560.00,-0.32,10290.00,0.52,2580.00,0.13
97,Exit Long,INTRADAY_BExit,2021-04-08 03:30,66400,1,-1230.00,-0.06,79560.00,-0.32,10290.00,0.52,2580.00,0.13
98,Entry Long,BUY,2021-04-08 09:00,67050,1,8910.00,0.44,88470.00,2.35,20550.00,1.02,4260.00,0.21
98,Exit Long,SELL,2021-04-08 15:30,67347,1,8910.00,0.44,88470.00,2.35,20550.00,1.02,4260.00,0.21
99,Entry Short,SELL,2021-04-08 15:30,67347,1,-5040.00,-0.25,83430.00,-1.3,480.00,0.02,6540.00,0.32
99,Exit Short,BUY,2021-04-08 17:30,67515,1,-5040.00,-0.25,83430.00,-1.3,480.00,0.02,6540.00,0.32
100,Entry Long,BUY,2021-04-08 17:30,67515,1,-10020.00,-0.49,73410.00,-2.61,1050.00,0.05,10020.00,0.49
100,Exit Long,INTRADAY_BExit,2021-04-09 03:30,67181,1,-10020.00,-0.49,73410.00,-2.61,1050.00,0.05,10020.00,0.49
101,Entry Short,SELL,2021-04-09 04:30,67370,1,23700.00,1.17,97110.00,6.35,24570.00,1.22,150.00,0.01
101,Exit Short,SELL_TG_HIT,2021-04-09 12:30,66580,1,23700.00,1.17,97110.00,6.35,24570.00,1.22,150.00,0.01
102,Entry Short,SELL,2021-04-12 06:00,66795,1,-7920.00,-0.4,89190.00,-1.99,4890.00,0.24,7920.00,0.4
102,Exit Short,BUY,2021-04-12 09:30,67059,1,-7920.00,-0.4,89190.00,-1.99,4890.00,0.24,7920.00,0.4
103,Entry Long,BUY,2021-04-12 09:30,67059,1,-20100.00,-1,69090.00,-5.16,7020.00,0.35,20820.00,1.03
