Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Long,BUY,2021-01-04 09:30,50805,1,3550.00,0.7,3550.00,1.18,3850.00,0.76,450.00,0.09
1,Exit Long,BUY_TG_HIT,2021-01-04 17:00,51160,1,3550.00,0.7,3550.00,1.18,3850.00,0.76,450.00,0.09
2,Entry Short,SELL,2021-01-05 21:00,51586,1,-950.00,-0.18,2600.00,-0.31,810.00,0.16,1120.00,0.22
2,Exit Short,INTRADAY_SExit,2021-01-05 23:15,51681,1,-950.00,-0.18,2600.00,-0.31,810.00,0.16,1120.00,0.22
3,Entry Short,SELL,2021-01-06 09:45,51511,1,-2190.00,-0.43,410.00,-0.72,240.00,0.05,3060.00,0.59
3,Exit Short,BUY,2021-01-06 14:30,51730,1,-2190.00,-0.43,410.00,-0.72,240.00,0.05,3060.00,0.59
4,Entry Long,BUY,2021-01-06 14:30,51730,1,-1560.00,-0.3,-1150.00,-0.52,1270.00,0.25,2080.00,0.4
4,Exit Long,SELL,2021-01-06 17:45,51574,1,-1560.00,-0.3,-1150.00,-0.52,1270.00,0.25,2080.00,0.4
5,Entry Short,SELL,2021-01-06 17:45,51574,1,4070.00,0.79,2920.00,1.36,5280.00,1.02,530.00,0.1
5,Exit Short,SELL_TG_HIT,2021-01-06 18:15,51167,1,4070.00,0.79,2920.00,1.36,5280.00,1.02,530.00,0.1
6,Entry Long,BUY,2021-01-07 11:30,50880,1,-300.00,-0.06,2620.00,-0.1,1650.00,0.32,1590.00,0.31
6,Exit Long,SELL,2021-01-07 16:15,50850,1,-300.00,-0.06,2620.00,-0.1,1650.00,0.32,1590.00,0.31
7,Entry Short,SELL,2021-01-07 16:15,50850,1,-420.00,-0.08,2200.00,-0.14,1340.00,0.26,1670.00,0.33
7,Exit Short,INTRADAY_SExit,2021-01-07 23:15,50892,1,-420.00,-0.08,2200.00,-0.14,1340.00,0.26,1670.00,0.33
8,Entry Long,BUY,2021-01-11 12:15,49173,1,-980.00,-0.2,1220.00,-0.32,2620.00,0.53,1930.00,0.39
8,Exit Long,SELL,2021-01-11 19:00,49075,1,-980.00,-0.2,1220.00,-0.32,2620.00,0.53,1930.00,0.39
9,Entry Short,SELL,2021-01-11 19:00,49075,1,-2460.00,-0.5,-1240.00,-0.82,1850.00,0.38,3150.00,0.64
9,Exit Short,BUY,2021-01-11 21:00,49321,1,-2460.00,-0.5,-1240.00,-0.82,1850.00,0.38,3150.00,0.64
10,Entry Long,BUY,2021-01-11 21:00,49321,1,40.00,0.01,-1200.00,0.01,490.00,0.1,990.00,0.2
10,Exit Long,INTRADAY_BExit,2021-01-11 23:15,49325,1,40.00,0.01,-1200.00,0.01,490.00,0.1,990.00,0.2
11,Entry Short,SELL,2021-01-12 19:15,49130,1,730.00,0.15,-470.00,0.24,1300.00,0.26,1170.00,0.24
11,Exit Short,INTRADAY_SExit,2021-01-12 23:15,49057,1,730.00,0.15,-470.00,0.24,1300.00,0.26,1170.00,0.24
12,Entry Long,BUY,2021-01-13 09:30,49422,1,-1370.00,-0.28,-1840.00,-0.46,570.00,0.12,1800.00,0.36
12,Exit Long,SELL,2021-01-13 15:00,49285,1,-1370.00,-0.28,-1840.00,-0.46,570.00,0.12,1800.00,0.36
13,Entry Short,SELL,2021-01-13 15:00,49285,1,50.00,0.01,-1790.00,0.02,750.00,0.15,1700.00,0.34
13,Exit Short,INTRADAY_SExit,2021-01-13 23:15,49280,1,50.00,0.01,-1790.00,0.02,750.00,0.15,1700.00,0.34
14,Entry Long,BUY,2021-01-14 20:15,49124,1,10.00,0,-1780.00,0,510.00,0.1,1150.00,0.23
14,Exit Long,INTRADAY_BExit,2021-01-14 23:15,49125,1,10.00,0,-1780.00,0,510.00,0.1,1150.00,0.23
15,Entry Short,SELL,2021-01-15 19:30,48887,1,1590.00,0.33,-190.00,0.53,2870.00,0.59,1480.00,0.3
15,Exit Short,INTRADAY_SExit,2021-01-15 23:15,48728,1,1590.00,0.33,-190.00,0.53,2870.00,0.59,1480.00,0.3
16,Entry Long,BUY,2021-01-19 14:00,49040,1,-1400.00,-0.29,-1590.00,-0.47,420.00,0.09,1900.00,0.39
16,Exit Long,SELL,2021-01-19 18:30,48900,1,-1400.00,-0.29,-1590.00,-0.47,420.00,0.09,1900.00,0.39
17,Entry Short,SELL,2021-01-19 18:30,48900,1,-1200.00,-0.25,-2790.00,-0.4,1250.00,0.26,1240.00,0.25
17,Exit Short,INTRADAY_SExit,2021-01-19 23:15,49020,1,-1200.00,-0.25,-2790.00,-0.4,1250.00,0.26,1240.00,0.25
18,Entry Long,BUY,2021-01-20 09:30,49123,1,680.00,0.14,-2110.00,0.23,1670.00,0.34,130.00,0.03
18,Exit Long,SELL,2021-01-20 16:15,49191,1,680.00,0.14,-2110.00,0.23,1670.00,0.34,130.00,0.03
19,Entry Short,SELL,2021-01-20 16:15,49191,1,-1340.00,-0.27,-3450.00,-0.45,3550.00,0.72,1770.00,0.36
19,Exit Short,BUY,2021-01-20 20:00,49325,1,-1340.00,-0.27,-3450.00,-0.45,3550.00,0.72,1770.00,0.36
20,Entry Long,BUY,2021-01-20 20:00,49325,1,1520.00,0.31,-1930.00,0.51,2890.00,0.59,110.00,0.02
20,Exit Long,INTRADAY_BExit,2021-01-20 23:15,49477,1,1520.00,0.31,-1930.00,0.51,2890.00,0.59,110.00,0.02
21,Entry Short,SELL,2021-01-21 17:45,49553,1,1430.00,0.29,-500.00,0.48,2380.00,0.48,610.00,0.12
21,Exit Short,INTRADAY_SExit,2021-01-21 23:15,49410,1,1430.00,0.29,-500.00,0.48,2380.00,0.48,610.00,0.12
22,Entry Long,BUY,2021-01-22 20:45,49030,1,1000.00,0.2,500.00,0.33,2140.00,0.44,430.00,0.09
22,Exit Long,INTRADAY_BExit,2021-01-22 23:15,49130,1,1000.00,0.2,500.00,0.33,2140.00,0.44,430.00,0.09
23,Entry Long,BUY,2021-01-25 16:30,49210,1,-1660.00,-0.34,-1160.00,-0.55,1110.00,0.23,2000.00,0.41
23,Exit Long,SELL,2021-01-25 20:45,49044,1,-1660.00,-0.34,-1160.00,-0.55,1110.00,0.23,2000.00,0.41
24,Entry Short,SELL,2021-01-25 20:45,49044,1,-960.00,-0.2,-2120.00,-0.32,810.00,0.17,1220.00,0.25
24,Exit Short,INTRADAY_SExit,2021-01-25 23:15,49140,1,-960.00,-0.2,-2120.00,-0.32,810.00,0.17,1220.00,0.25
25,Entry Long,BUY,2021-01-27 21:45,48926,1,-160.00,-0.03,-2280.00,-0.05,270.00,0.06,730.00,0.15
25,Exit Long,INTRADAY_BExit,2021-01-27 23:15,48910,1,-160.00,-0.03,-2280.00,-0.05,270.00,0.06,730.00,0.15
26,Entry Short,SELL,2021-01-28 12:00,48715,1,-550.00,-0.11,-2830.00,-0.18,340.00,0.07,1040.00,0.21
26,Exit Short,BUY,2021-01-28 16:15,48770,1,-550.00,-0.11,-2830.00,-0.18,340.00,0.07,1040.00,0.21
27,Entry Long,BUY,2021-01-28 16:15,48770,1,3640.00,0.75,810.00,1.22,4180.00,0.86,530.00,0.11
27,Exit Long,BUY_TG_HIT,2021-01-28 19:45,49134,1,3640.00,0.75,810.00,1.22,4180.00,0.86,530.00,0.11
28,Entry Short,SELL,2021-01-28 22:45,48812,1,-130.00,-0.03,680.00,-0.04,830.00,0.17,270.00,0.06
28,Exit Short,INTRADAY_SExit,2021-01-28 23:15,48825,1,-130.00,-0.03,680.00,-0.04,830.00,0.17,270.00,0.06
29,Entry Long,BUY,2021-01-29 15:00,48929,1,3600.00,0.74,4280.00,1.2,3660.00,0.75,110.00,0.02
29,Exit Long,BUY_TG_HIT,2021-01-29 18:15,49289,1,3600.00,0.74,4280.00,1.2,3660.00,0.75,110.00,0.02
30,Entry Short,SELL,2021-01-29 20:30,49266,1,1460.00,0.3,5740.00,0.48,2060.00,0.42,160.00,0.03
30,Exit Short,INTRADAY_SExit,2021-01-29 23:15,49120,1,1460.00,0.3,5740.00,0.48,2060.00,0.42,160.00,0.03
31,Entry Long,BUY,2021-02-03 09:45,47989,1,-2410.00,-0.5,3330.00,-0.79,0,0,3090.00,0.64
31,Exit Long,SELL,2021-02-03 20:45,47748,1,-2410.00,-0.5,3330.00,-0.79,0,0,3090.00,0.64
32,Entry Short,SELL,2021-02-03 20:45,47748,1,-260.00,-0.05,3070.00,-0.09,960.00,0.2,610.00,0.13
32,Exit Short,INTRADAY_SExit,2021-02-03 23:15,47774,1,-260.00,-0.05,3070.00,-0.09,960.00,0.2,610.00,0.13
33,Entry Long,BUY,2021-02-05 13:00,46896,1,900.00,0.19,3970.00,0.3,2910.00,0.62,100.00,0.02
33,Exit Long,SELL,2021-02-05 18:00,46986,1,900.00,0.19,3970.00,0.3,2910.00,0.62,100.00,0.02
34,Entry Short,SELL,2021-02-05 18:00,46986,1,-2090.00,-0.44,1880.00,-0.69,2310.00,0.49,2340.00,0.5
34,Exit Short,BUY,2021-02-05 22:45,47195,1,-2090.00,-0.44,1880.00,-0.69,2310.00,0.49,2340.00,0.5
35,Entry Long,BUY,2021-02-05 22:45,47195,1,-100.00,-0.02,1780.00,-0.03,270.00,0.06,340.00,0.07
35,Exit Long,INTRADAY_BExit,2021-02-05 23:15,47185,1,-100.00,-0.02,1780.00,-0.03,270.00,0.06,340.00,0.07
36,Entry Short,SELL,2021-02-08 14:30,47125,1,-2480.00,-0.53,-700.00,-0.82,50.00,0.01,2550.00,0.54
36,Exit Short,BUY,2021-02-08 16:45,47373,1,-2480.00,-0.53,-700.00,-0.82,50.00,0.01,2550.00,0.54
37,Entry Long,BUY,2021-02-08 16:45,47373,1,3440.00,0.73,2740.00,1.15,3620.00,0.76,180.00,0.04
37,Exit Long,BUY_TG_HIT,2021-02-08 19:45,47717,1,3440.00,0.73,2740.00,1.15,3620.00,0.76,180.00,0.04
38,Entry Short,SELL,2021-02-09 20:30,47759,1,-690.00,-0.14,2050.00,-0.23,70.00,0.01,1880.00,0.39
38,Exit Short,INTRADAY_SExit,2021-02-09 23:15,47828,1,-690.00,-0.14,2050.00,-0.23,70.00,0.01,1880.00,0.39
39,Entry Long,BUY,2021-02-10 19:30,48057,1,-1970.00,-0.41,80.00,-0.65,480.00,0.1,3190.00,0.66
39,Exit Long,SELL,2021-02-10 21:30,47860,1,-1970.00,-0.41,80.00,-0.65,480.00,0.1,3190.00,0.66
40,Entry Short,SELL,2021-02-10 21:30,47860,1,390.00,0.08,470.00,0.13,1400.00,0.29,0,0
40,Exit Short,INTRADAY_SExit,2021-02-10 23:15,47821,1,390.00,0.08,470.00,0.13,1400.00,0.29,0,0
41,Entry Long,BUY,2021-02-11 14:15,47784,1,-760.00,-0.16,-290.00,-0.25,1660.00,0.35,1020.00,0.21
41,Exit Long,SELL,2021-02-11 22:00,47708,1,-760.00,-0.16,-290.00,-0.25,1660.00,0.35,1020.00,0.21
42,Entry Short,SELL,2021-02-11 22:00,47708,1,3390.00,0.71,3100.00,1.13,3520.00,0.74,0,0
42,Exit Short,INTRADAY_SExit,2021-02-11 23:15,47369,1,3390.00,0.71,3100.00,1.13,3520.00,0.74,0,0
43,Entry Long,BUY,2021-02-12 21:45,47322,1,-760.00,-0.16,2340.00,-0.25,530.00,0.11,940.00,0.2
43,Exit Long,INTRADAY_BExit,2021-02-12 23:15,47246,1,-760.00,-0.16,2340.00,-0.25,530.00,0.11,940.00,0.2
44,Entry Short,SELL,2021-02-15 12:45,47121,1,-1040.00,-0.22,1300.00,-0.34,10.00,0,1460.00,0.31
44,Exit Short,BUY,2021-02-15 18:15,47225,1,-1040.00,-0.22,1300.00,-0.34,10.00,0,1460.00,0.31
45,Entry Long,BUY,2021-02-15 18:15,47225,1,-960.00,-0.2,340.00,-0.32,200.00,0.04,1420.00,0.3
45,Exit Long,SELL,2021-02-15 19:45,47129,1,-960.00,-0.2,340.00,-0.32,200.00,0.04,1420.00,0.3
46,Entry Short,SELL,2021-02-15 19:45,47129,1,-100.00,-0.02,240.00,-0.03,150.00,0.03,680.00,0.14
46,Exit Short,INTRADAY_SExit,2021-02-15 23:15,47139,1,-100.00,-0.02,240.00,-0.03,150.00,0.03,680.00,0.14
47,Entry Long,BUY,2021-02-16 09:30,47278,1,-1100.00,-0.23,-860.00,-0.37,470.00,0.1,1560.00,0.33
47,Exit Long,SELL,2021-02-16 17:45,47168,1,-1100.00,-0.23,-860.00,-0.37,470.00,0.1,1560.00,0.33
48,Entry Short,SELL,2021-02-16 17:45,47168,1,3340.00,0.71,2480.00,1.12,3670.00,0.78,320.00,0.07
48,Exit Short,SELL_TG_HIT,2021-02-16 19:15,46834,1,3340.00,0.71,2480.00,1.12,3670.00,0.78,320.00,0.07
49,Entry Long,BUY,2021-02-17 18:30,46588,1,-2880.00,-0.62,-400.00,-0.95,20.00,0,3770.00,0.81
49,Exit Long,SELL,2021-02-17 19:15,46300,1,-2880.00,-0.62,-400.00,-0.95,20.00,0,3770.00,0.81
50,Entry Short,SELL,2021-02-17 19:15,46300,1,600.00,0.13,200.00,0.2,1650.00,0.36,1110.00,0.24
50,Exit Short,INTRADAY_SExit,2021-02-17 23:15,46240,1,600.00,0.13,200.00,0.2,1650.00,0.36,1110.00,0.24
51,Entry Long,BUY,2021-02-18 14:45,46324,1,-1060.00,-0.23,-860.00,-0.35,300.00,0.06,2000.00,0.43
51,Exit Long,SELL,2021-02-18 18:15,46218,1,-1060.00,-0.23,-860.00,-0.35,300.00,0.06,2000.00,0.43
52,Entry Short,SELL,2021-02-18 18:15,46218,1,1500.00,0.32,640.00,0.5,2630.00,0.57,1150.00,0.25
52,Exit Short,INTRADAY_SExit,2021-02-18 23:15,46068,1,1500.00,0.32,640.00,0.5,2630.00,0.57,1150.00,0.25
53,Entry Long,BUY,2021-02-19 19:45,46184,1,-780.00,-0.17,-140.00,-0.26,1750.00,0.38,1540.00,0.33
53,Exit Long,INTRADAY_BExit,2021-02-19 23:15,46106,1,-780.00,-0.17,-140.00,-0.26,1750.00,0.38,1540.00,0.33
54,Entry Short,SELL,2021-02-23 15:00,46646,1,-1340.00,-0.29,-1480.00,-0.45,680.00,0.15,1830.00,0.39
54,Exit Short,BUY,2021-02-23 18:00,46780,1,-1340.00,-0.29,-1480.00,-0.45,680.00,0.15,1830.00,0.39
55,Entry Long,BUY,2021-02-23 18:00,46780,1,-2200.00,-0.47,-3680.00,-0.74,390.00,0.08,3500.00,0.75
55,Exit Long,SELL,2021-02-23 20:30,46560,1,-2200.00,-0.47,-3680.00,-0.74,390.00,0.08,3500.00,0.75
56,Entry Short,SELL,2021-02-23 20:30,46560,1,-700.00,-0.15,-4380.00,-0.24,390.00,0.08,1600.00,0.34
56,Exit Short,INTRADAY_SExit,2021-02-23 23:15,46630,1,-700.00,-0.15,-4380.00,-0.24,390.00,0.08,1600.00,0.34
57,Entry Long,BUY,2021-02-26 15:45,46294,1,-3570.00,-0.77,-7950.00,-1.21,2220.00,0.48,3940.00,0.85
57,Exit Long,SELL,2021-02-26 20:45,45937,1,-3570.00,-0.77,-7950.00,-1.21,2220.00,0.48,3940.00,0.85
58,Entry Short,SELL,2021-02-26 20:45,45937,1,4370.00,0.95,-3580.00,1.5,4620.00,1.01,0,0
58,Exit Short,SELL_TG_HIT,2021-02-26 22:30,45500,1,4370.00,0.95,-3580.00,1.5,4620.00,1.01,0,0
59,Entry Long,BUY,2021-03-02 15:30,45325,1,550.00,0.12,-3030.00,0.19,3160.00,0.7,250.00,0.06
59,Exit Long,SELL,2021-03-02 20:30,45380,1,550.00,0.12,-3030.00,0.19,3160.00,0.7,250.00,0.06
60,Entry Short,SELL,2021-03-02 20:30,45380,1,-2110.00,-0.46,-5140.00,-0.71,950.00,0.21,2700.00,0.59
60,Exit Short,INTRADAY_SExit,2021-03-02 23:15,45591,1,-2110.00,-0.46,-5140.00,-0.71,950.00,0.21,2700.00,0.59
61,Entry Long,BUY,2021-03-03 09:30,45528,1,-1540.00,-0.34,-6680.00,-0.52,260.00,0.06,2080.00,0.46
61,Exit Long,SELL,2021-03-03 12:15,45374,1,-1540.00,-0.34,-6680.00,-0.52,260.00,0.06,2080.00,0.46
62,Entry Short,SELL,2021-03-03 12:15,45374,1,5040.00,1.11,-1640.00,1.72,5340.00,1.18,210.00,0.05
62,Exit Short,SELL_TG_HIT,2021-03-03 18:45,44870,1,5040.00,1.11,-1640.00,1.72,5340.00,1.18,210.00,0.05
63,Entry Long,BUY,2021-03-03 22:15,44996,1,-90.00,-0.02,-1730.00,-0.03,160.00,0.04,800.00,0.18
63,Exit Long,INTRADAY_BExit,2021-03-03 23:15,44987,1,-90.00,-0.02,-1730.00,-0.03,160.00,0.04,800.00,0.18
64,Entry Short,SELL,2021-03-04 12:45,44832,1,320.00,0.07,-1410.00,0.11,2160.00,0.48,1580.00,0.35
64,Exit Short,BUY,2021-03-04 19:00,44800,1,320.00,0.07,-1410.00,0.11,2160.00,0.48,1580.00,0.35
65,Entry Long,BUY,2021-03-04 19:00,44800,1,-1980.00,-0.44,-3390.00,-0.66,1360.00,0.3,2550.00,0.57
65,Exit Long,INTRADAY_BExit,2021-03-04 23:15,44602,1,-1980.00,-0.44,-3390.00,-0.66,1360.00,0.3,2550.00,0.57
66,Entry Short,SELL,2021-03-05 09:30,44400,1,-600.00,-0.14,-3990.00,-0.2,1330.00,0.3,1760.00,0.4
66,Exit Short,BUY,2021-03-05 18:45,44460,1,-600.00,-0.14,-3990.00,-0.2,1330.00,0.3,1760.00,0.4
67,Entry Long,BUY,2021-03-05 18:45,44460,1,1600.00,0.36,-2390.00,0.54,2140.00,0.48,1590.00,0.36
67,Exit Long,INTRADAY_BExit,2021-03-05 23:15,44620,1,1600.00,0.36,-2390.00,0.54,2140.00,0.48,1590.00,0.36
68,Entry Short,SELL,2021-03-08 14:15,44500,1,2360.00,0.53,-30.00,0.79,3370.00,0.76,680.00,0.15
68,Exit Short,INTRADAY_SExit,2021-03-08 23:15,44264,1,2360.00,0.53,-30.00,0.79,3370.00,0.76,680.00,0.15
69,Entry Long,BUY,2021-03-09 13:45,44395,1,3640.00,0.82,3610.00,1.21,4300.00,0.97,150.00,0.03
69,Exit Long,BUY_TG_HIT,2021-03-09 19:30,44759,1,3640.00,0.82,3610.00,1.21,4300.00,0.97,150.00,0.03
70,Entry Short,SELL,2021-03-10 12:00,44690,1,-1670.00,-0.37,1940.00,-0.55,540.00,0.12,2300.00,0.51
70,Exit Short,BUY,2021-03-10 19:30,44857,1,-1670.00,-0.37,1940.00,-0.55,540.00,0.12,2300.00,0.51
71,Entry Long,BUY,2021-03-10 19:30,44857,1,-650.00,-0.14,1290.00,-0.22,130.00,0.03,1070.00,0.24
71,Exit Long,INTRADAY_BExit,2021-03-10 23:15,44792,1,-650.00,-0.14,1290.00,-0.22,130.00,0.03,1070.00,0.24
72,Entry Short,SELL,2021-03-11 20:15,44795,1,-550.00,-0.12,740.00,-0.18,100.00,0.02,1420.00,0.32
72,Exit Short,INTRADAY_SExit,2021-03-11 23:15,44850,1,-550.00,-0.12,740.00,-0.18,100.00,0.02,1420.00,0.32
73,Entry Long,BUY,2021-03-12 22:00,44566,1,1320.00,0.3,2060.00,0.44,1790.00,0.4,150.00,0.03
73,Exit Long,INTRADAY_BExit,2021-03-12 23:15,44698,1,1320.00,0.3,2060.00,0.44,1790.00,0.4,150.00,0.03
74,Entry Short,SELL,2021-03-15 20:45,44872,1,-300.00,-0.07,1760.00,-0.1,280.00,0.06,530.00,0.12
74,Exit Short,INTRADAY_SExit,2021-03-15 23:15,44902,1,-300.00,-0.07,1760.00,-0.1,280.00,0.06,530.00,0.12
75,Entry Long,BUY,2021-03-16 20:15,44982,1,-1550.00,-0.34,210.00,-0.51,30.00,0.01,2070.00,0.46
75,Exit Long,SELL,2021-03-16 21:45,44827,1,-1550.00,-0.34,210.00,-0.51,30.00,0.01,2070.00,0.46
76,Entry Short,SELL,2021-03-16 21:45,44827,1,0,0,210.00,0,70.00,0.02,680.00,0.15
76,Exit Short,INTRADAY_SExit,2021-03-16 23:15,44827,1,0,0,210.00,0,70.00,0.02,680.00,0.15
77,Entry Long,BUY,2021-03-17 10:15,44955,1,-1380.00,-0.31,-1170.00,-0.46,630.00,0.14,1380.00,0.31
77,Exit Long,SELL,2021-03-17 17:00,44817,1,-1380.00,-0.31,-1170.00,-0.46,630.00,0.14,1380.00,0.31
78,Entry Short,SELL,2021-03-17 17:00,44817,1,-190.00,-0.04,-1360.00,-0.06,670.00,0.15,1330.00,0.3
78,Exit Short,INTRADAY_SExit,2021-03-17 23:15,44836,1,-190.00,-0.04,-1360.00,-0.06,670.00,0.15,1330.00,0.3
