Trade #,Type,Signal,Date/Time,Price,Contracts,Profit NONE,Profit %,Cum. Profit NONE,Cum. Profit %,Run-up NONE,Run-up %,Drawdown NONE,Drawdown %
1,Entry Short,SELL,2021-01-01 04:00,1219.8,1,-1950.00,-0.11,-1950.00,-0.65,4950.00,0.27,3000.00,0.16
1,Exit Short,BUY,2021-01-01 05:30,1221.1,1,-1950.00,-0.11,-1950.00,-0.65,4950.00,0.27,3000.00,0.16
2,Entry Long,BUY,2021-01-01 05:30,1221.1,1,-8550.00,-0.47,-10500.00,-2.87,900.00,0.05,9150.00,0.5
2,Exit Long,SELL,2021-01-01 11:00,1215.4,1,-8550.00,-0.47,-10500.00,-2.87,900.00,0.05,9150.00,0.5
3,Entry Short,SELL,2021-01-01 11:00,1215.4,1,-49200.00,-2.7,-59700.00,-16.99,6600.00,0.36,69900.00,3.83
3,Exit Short,INTRADAY_SExit,2021-01-04 03:45,1248.2,1,-49200.00,-2.7,-59700.00,-16.99,6600.00,0.36,69900.00,3.83
4,Entry Long,BUY,2021-01-04 04:15,1252.1,1,23850.00,1.27,-35850.00,9.93,32250.00,1.72,1200.00,0.06
4,Exit Long,INTRADAY_BExit,2021-01-04 17:45,1268.0,1,23850.00,1.27,-35850.00,9.93,32250.00,1.72,1200.00,0.06
5,Entry Short,SELL,2021-01-05 04:15,1278.6,1,-11850.00,-0.62,-47700.00,-4.49,2550.00,0.13,15150.00,0.79
5,Exit Short,BUY,2021-01-05 06:00,1286.5,1,-11850.00,-0.62,-47700.00,-4.49,2550.00,0.13,15150.00,0.79
6,Entry Long,BUY,2021-01-05 06:00,1286.5,1,12300.00,0.64,-35400.00,4.88,14250.00,0.74,16500.00,0.86
6,Exit Long,INTRADAY_BExit,2021-01-05 17:45,1294.7,1,12300.00,0.64,-35400.00,4.88,14250.00,0.74,16500.00,0.86
7,Entry Long,BUY,2021-01-06 04:00,1289.5,1,7350.00,0.38,-28050.00,2.78,31650.00,1.64,1950.00,0.1
7,Exit Long,SELL,2021-01-06 14:30,1294.4,1,7350.00,0.38,-28050.00,2.78,31650.00,1.64,1950.00,0.1
8,Entry Short,SELL,2021-01-06 14:30,1294.4,1,-4500.00,-0.23,-32550.00,-1.65,4950.00,0.25,4500.00,0.23
8,Exit Short,BUY,2021-01-06 14:45,1297.4,1,-4500.00,-0.23,-32550.00,-1.65,4950.00,0.25,4500.00,0.23
9,Entry Long,BUY,2021-01-06 14:45,1297.4,1,-3600.00,-0.18,-36150.00,-1.35,6900.00,0.35,3750.00,0.19
9,Exit Long,SELL,2021-01-06 15:45,1295.0,1,-3600.00,-0.18,-36150.00,-1.35,6900.00,0.35,3750.00,0.19
10,Entry Short,SELL,2021-01-06 15:45,1295.0,1,-11850.00,-0.61,-48000.00,-4.49,1200.00,0.06,11850.00,0.61
10,Exit Short,BUY,2021-01-06 17:00,1302.9,1,-11850.00,-0.61,-48000.00,-4.49,1200.00,0.06,11850.00,0.61
11,Entry Long,BUY,2021-01-06 17:00,1302.9,1,-2850.00,-0.15,-50850.00,-1.13,600.00,0.03,3900.00,0.2
11,Exit Long,INTRADAY_BExit,2021-01-06 17:45,1301.0,1,-2850.00,-0.15,-50850.00,-1.13,600.00,0.03,3900.00,0.2
12,Entry Long,BUY,2021-01-07 04:00,1318.7,1,1500.00,0.08,-49350.00,0.6,15750.00,0.8,750.00,0.04
12,Exit Long,SELL,2021-01-07 08:30,1319.7,1,1500.00,0.08,-49350.00,0.6,15750.00,0.8,750.00,0.04
13,Entry Short,SELL,2021-01-07 08:30,1319.7,1,-2250.00,-0.11,-51600.00,-0.9,23850.00,1.2,2250.00,0.11
13,Exit Short,BUY,2021-01-07 14:15,1321.2,1,-2250.00,-0.11,-51600.00,-0.9,23850.00,1.2,2250.00,0.11
14,Entry Long,BUY,2021-01-07 14:15,1321.2,1,10500.00,0.53,-41100.00,4.23,19200.00,0.97,300.00,0.02
14,Exit Long,INTRADAY_BExit,2021-01-07 17:45,1328.2,1,10500.00,0.53,-41100.00,4.23,19200.00,0.97,300.00,0.02
15,Entry Short,SELL,2021-01-08 04:30,1318.3,1,36750.00,1.86,-4350.00,14.19,43950.00,2.22,2250.00,0.11
15,Exit Short,INTRADAY_SExit,2021-01-08 17:45,1293.8,1,36750.00,1.86,-4350.00,14.19,43950.00,2.22,2250.00,0.11
16,Entry Short,SELL,2021-01-11 04:00,1273.0,1,0,0,-4350.00,0,15000.00,0.79,4650.00,0.24
16,Exit Short,BUY,2021-01-11 08:15,1273.0,1,0,0,-4350.00,0,15000.00,0.79,4650.00,0.24
17,Entry Long,BUY,2021-01-11 08:15,1273.0,1,-13200.00,-0.69,-17550.00,-4.46,600.00,0.03,13800.00,0.72
17,Exit Long,SELL,2021-01-11 12:30,1264.2,1,-13200.00,-0.69,-17550.00,-4.46,600.00,0.03,13800.00,0.72
18,Entry Short,SELL,2021-01-11 12:30,1264.2,1,14850.00,0.78,-2700.00,5.26,23700.00,1.25,1050.00,0.06
18,Exit Short,INTRADAY_SExit,2021-01-11 17:45,1254.3,1,14850.00,0.78,-2700.00,5.26,23700.00,1.25,1050.00,0.06
19,Entry Short,SELL,2021-01-12 05:15,1264.4,1,-10650.00,-0.56,-13350.00,-3.58,300.00,0.02,10650.00,0.56
19,Exit Short,BUY,2021-01-12 05:45,1271.5,1,-10650.00,-0.56,-13350.00,-3.58,300.00,0.02,10650.00,0.56
20,Entry Long,BUY,2021-01-12 05:45,1271.5,1,11550.00,0.61,-1800.00,4.03,29250.00,1.53,0,0
20,Exit Long,SELL,2021-01-12 16:45,1279.2,1,11550.00,0.61,-1800.00,4.03,29250.00,1.53,0,0
21,Entry Short,SELL,2021-01-12 16:45,1279.2,1,-7200.00,-0.38,-9000.00,-2.41,0,0,12900.00,0.67
21,Exit Short,BUY,2021-01-12 17:00,1284.0,1,-7200.00,-0.38,-9000.00,-2.41,0,0,12900.00,0.67
22,Entry Long,BUY,2021-01-12 17:00,1284.0,1,0,0,-9000.00,0,3750.00,0.19,2700.00,0.14
22,Exit Long,INTRADAY_BExit,2021-01-12 17:45,1284.0,1,0,0,-9000.00,0,3750.00,0.19,2700.00,0.14
23,Entry Long,BUY,2021-01-13 04:00,1298.0,1,-750.00,-0.04,-9750.00,-0.26,1200.00,0.06,1500.00,0.08
23,Exit Long,SELL,2021-01-13 05:00,1297.5,1,-750.00,-0.04,-9750.00,-0.26,1200.00,0.06,1500.00,0.08
24,Entry Short,SELL,2021-01-13 05:00,1297.5,1,22050.00,1.13,12300.00,7.6,35400.00,1.82,3000.00,0.15
24,Exit Short,INTRADAY_SExit,2021-01-13 17:45,1282.8,1,22050.00,1.13,12300.00,7.6,35400.00,1.82,3000.00,0.15
25,Entry Short,SELL,2021-01-14 04:15,1282.9,1,-10350.00,-0.54,1950.00,-3.31,3600.00,0.19,18000.00,0.94
25,Exit Short,BUY,2021-01-14 06:00,1289.8,1,-10350.00,-0.54,1950.00,-3.31,3600.00,0.19,18000.00,0.94
26,Entry Long,BUY,2021-01-14 06:00,1289.8,1,39600.00,2.05,41550.00,13.11,44850.00,2.32,6150.00,0.32
26,Exit Long,BUY_TG_HIT,2021-01-14 14:45,1316.2,1,39600.00,2.05,41550.00,13.11,44850.00,2.32,6150.00,0.32
27,Entry Long,BUY,2021-01-14 15:00,1316.9,1,20250.00,1.03,61800.00,5.93,22200.00,1.12,3450.00,0.17
27,Exit Long,INTRADAY_BExit,2021-01-14 17:45,1330.4,1,20250.00,1.03,61800.00,5.93,22200.00,1.12,3450.00,0.17
28,Entry Short,SELL,2021-01-15 04:00,1325.1,1,39300.00,1.98,101100.00,10.86,45150.00,2.27,2400.00,0.12
28,Exit Short,SELL_TG_HIT,2021-01-15 16:00,1298.9,1,39300.00,1.98,101100.00,10.86,45150.00,2.27,2400.00,0.12
29,Entry Short,SELL,2021-01-15 16:15,1299.0,1,-14550.00,-0.75,86550.00,-3.63,1350.00,0.07,15600.00,0.8
29,Exit Short,INTRADAY_SExit,2021-01-15 17:45,1308.7,1,-14550.00,-0.75,86550.00,-3.63,1350.00,0.07,15600.00,0.8
30,Entry Long,BUY,2021-01-18 04:00,1322.3,1,-6750.00,-0.34,79800.00,-1.75,2250.00,0.11,7800.00,0.39
30,Exit Long,SELL,2021-01-18 04:30,1317.8,1,-6750.00,-0.34,79800.00,-1.75,2250.00,0.11,7800.00,0.39
31,Entry Short,SELL,2021-01-18 04:30,1317.8,1,-10500.00,-0.53,69300.00,-2.76,0,0,12150.00,0.61
31,Exit Short,BUY,2021-01-18 05:45,1324.8,1,-10500.00,-0.53,69300.00,-2.76,0,0,12150.00,0.61
32,Entry Long,BUY,2021-01-18 05:45,1324.8,1,-11850.00,-0.6,57450.00,-3.21,3300.00,0.17,15150.00,0.76
32,Exit Long,SELL,2021-01-18 08:15,1316.9,1,-11850.00,-0.6,57450.00,-3.21,3300.00,0.17,15150.00,0.76
33,Entry Short,SELL,2021-01-18 08:15,1316.9,1,600.00,0.03,58050.00,0.17,10200.00,0.52,9150.00,0.46
33,Exit Short,INTRADAY_SExit,2021-01-18 17:45,1316.5,1,600.00,0.03,58050.00,0.17,10200.00,0.52,9150.00,0.46
34,Entry Short,SELL,2021-01-19 04:00,1317.4,1,7500.00,0.38,65550.00,2.09,19800.00,1,1650.00,0.08
34,Exit Short,BUY,2021-01-19 11:15,1312.4,1,7500.00,0.38,65550.00,2.09,19800.00,1,1650.00,0.08
35,Entry Long,BUY,2021-01-19 11:15,1312.4,1,-3600.00,-0.18,61950.00,-0.98,1800.00,0.09,5850.00,0.3
35,Exit Long,SELL,2021-01-19 12:15,1310.0,1,-3600.00,-0.18,61950.00,-0.98,1800.00,0.09,5850.00,0.3
36,Entry Short,SELL,2021-01-19 12:15,1310.0,1,-10500.00,-0.53,51450.00,-2.9,2100.00,0.11,12000.00,0.61
36,Exit Short,BUY,2021-01-19 13:15,1317.0,1,-10500.00,-0.53,51450.00,-2.9,2100.00,0.11,12000.00,0.61
37,Entry Long,BUY,2021-01-19 13:15,1317.0,1,9300.00,0.47,60750.00,2.65,26850.00,1.36,1350.00,0.07
37,Exit Long,INTRADAY_BExit,2021-01-19 17:45,1323.2,1,9300.00,0.47,60750.00,2.65,26850.00,1.36,1350.00,0.07
38,Entry Short,SELL,2021-01-20 04:00,1312.9,1,-3750.00,-0.19,57000.00,-1.04,1800.00,0.09,5400.00,0.27
38,Exit Short,BUY,2021-01-20 05:15,1315.4,1,-3750.00,-0.19,57000.00,-1.04,1800.00,0.09,5400.00,0.27
39,Entry Long,BUY,2021-01-20 05:15,1315.4,1,1500.00,0.08,58500.00,0.42,15150.00,0.77,7050.00,0.36
39,Exit Long,SELL,2021-01-20 10:15,1316.4,1,1500.00,0.08,58500.00,0.42,15150.00,0.77,7050.00,0.36
40,Entry Short,SELL,2021-01-20 10:15,1316.4,1,-5400.00,-0.27,53100.00,-1.51,12600.00,0.64,9750.00,0.49
40,Exit Short,BUY,2021-01-20 14:45,1320.0,1,-5400.00,-0.27,53100.00,-1.51,12600.00,0.64,9750.00,0.49
41,Entry Long,BUY,2021-01-20 14:45,1320.0,1,1500.00,0.08,54600.00,0.42,7500.00,0.38,9750.00,0.49
41,Exit Long,INTRADAY_BExit,2021-01-20 17:45,1321.0,1,1500.00,0.08,54600.00,0.42,7500.00,0.38,9750.00,0.49
42,Entry Long,BUY,2021-01-21 04:00,1329.4,1,3450.00,0.17,58050.00,0.97,16500.00,0.83,1950.00,0.1
42,Exit Long,SELL,2021-01-21 10:30,1331.7,1,3450.00,0.17,58050.00,0.97,16500.00,0.83,1950.00,0.1
43,Entry Short,SELL,2021-01-21 10:30,1331.7,1,-3450.00,-0.17,54600.00,-0.96,1050.00,0.05,4200.00,0.21
43,Exit Short,BUY,2021-01-21 11:30,1334.0,1,-3450.00,-0.17,54600.00,-0.96,1050.00,0.05,4200.00,0.21
44,Entry Long,BUY,2021-01-21 11:30,1334.0,1,-3000.00,-0.15,51600.00,-0.85,5250.00,0.26,4200.00,0.21
44,Exit Long,SELL,2021-01-21 14:00,1332.0,1,-3000.00,-0.15,51600.00,-0.85,5250.00,0.26,4200.00,0.21
45,Entry Short,SELL,2021-01-21 14:00,1332.0,1,-150.00,-0.01,51450.00,-0.04,6000.00,0.3,6000.00,0.3
45,Exit Short,INTRADAY_SExit,2021-01-21 17:45,1332.1,1,-150.00,-0.01,51450.00,-0.04,6000.00,0.3,6000.00,0.3
46,Entry Short,SELL,2021-01-22 04:15,1324.0,1,2100.00,0.11,53550.00,0.6,29250.00,1.47,1500.00,0.08
46,Exit Short,BUY,2021-01-22 15:15,1322.6,1,2100.00,0.11,53550.00,0.6,29250.00,1.47,1500.00,0.08
47,Entry Long,BUY,2021-01-22 15:15,1322.6,1,8700.00,0.44,62250.00,2.46,16050.00,0.81,1050.00,0.05
47,Exit Long,INTRADAY_BExit,2021-01-22 17:45,1328.4,1,8700.00,0.44,62250.00,2.46,16050.00,0.81,1050.00,0.05
48,Entry Long,BUY,2021-01-25 05:30,1340.4,1,-8850.00,-0.44,53400.00,-2.44,1500.00,0.07,10500.00,0.52
48,Exit Long,SELL,2021-01-25 06:30,1334.5,1,-8850.00,-0.44,53400.00,-2.44,1500.00,0.07,10500.00,0.52
49,Entry Short,SELL,2021-01-25 06:30,1334.5,1,2250.00,0.11,55650.00,0.64,19800.00,0.99,6600.00,0.33
49,Exit Short,INTRADAY_SExit,2021-01-25 17:45,1333.0,1,2250.00,0.11,55650.00,0.64,19800.00,0.99,6600.00,0.33
50,Entry Short,SELL,2021-01-27 04:00,1319.3,1,-2100.00,-0.11,53550.00,-0.59,2700.00,0.14,2100.00,0.11
50,Exit Short,BUY,2021-01-27 05:30,1320.7,1,-2100.00,-0.11,53550.00,-0.59,2700.00,0.14,2100.00,0.11
51,Entry Long,BUY,2021-01-27 05:30,1320.7,1,-4800.00,-0.24,48750.00,-1.36,4050.00,0.2,5250.00,0.27
51,Exit Long,SELL,2021-01-27 06:30,1317.5,1,-4800.00,-0.24,48750.00,-1.36,4050.00,0.2,5250.00,0.27
52,Entry Short,SELL,2021-01-27 06:30,1317.5,1,24750.00,1.25,73500.00,7.1,37200.00,1.88,2550.00,0.13
52,Exit Short,INTRADAY_SExit,2021-01-27 17:45,1301.0,1,24750.00,1.25,73500.00,7.1,37200.00,1.88,2550.00,0.13
53,Entry Short,SELL,2021-01-28 04:00,1290.5,1,-4500.00,-0.23,69000.00,-1.2,1500.00,0.08,5700.00,0.29
53,Exit Short,BUY,2021-01-28 05:30,1293.5,1,-4500.00,-0.23,69000.00,-1.2,1500.00,0.08,5700.00,0.29
54,Entry Long,BUY,2021-01-28 05:30,1293.5,1,-7650.00,-0.39,61350.00,-2.07,1950.00,0.1,7650.00,0.39
54,Exit Long,SELL,2021-01-28 06:00,1288.4,1,-7650.00,-0.39,61350.00,-2.07,1950.00,0.1,7650.00,0.39
55,Entry Short,SELL,2021-01-28 06:00,1288.4,1,-3750.00,-0.19,57600.00,-1.04,750.00,0.04,6450.00,0.33
55,Exit Short,BUY,2021-01-28 07:00,1290.9,1,-3750.00,-0.19,57600.00,-1.04,750.00,0.04,6450.00,0.33
56,Entry Long,BUY,2021-01-28 07:00,1290.9,1,-5400.00,-0.28,52200.00,-1.51,450.00,0.02,5850.00,0.3
56,Exit Long,SELL,2021-01-28 07:15,1287.3,1,-5400.00,-0.28,52200.00,-1.51,450.00,0.02,5850.00,0.3
57,Entry Short,SELL,2021-01-28 07:15,1287.3,1,-9750.00,-0.5,42450.00,-2.77,6750.00,0.35,12000.00,0.62
57,Exit Short,BUY,2021-01-28 13:15,1293.8,1,-9750.00,-0.5,42450.00,-2.77,6750.00,0.35,12000.00,0.62
58,Entry Long,BUY,2021-01-28 13:15,1293.8,1,7200.00,0.37,49650.00,2.1,24000.00,1.24,2250.00,0.12
58,Exit Long,INTRADAY_BExit,2021-01-28 17:45,1298.6,1,7200.00,0.37,49650.00,2.1,24000.00,1.24,2250.00,0.12
59,Entry Short,SELL,2021-01-29 05:45,1282.9,1,-7200.00,-0.37,42450.00,-2.06,9900.00,0.51,12450.00,0.65
59,Exit Short,BUY,2021-01-29 10:30,1287.7,1,-7200.00,-0.37,42450.00,-2.06,9900.00,0.51,12450.00,0.65
60,Entry Long,BUY,2021-01-29 10:30,1287.7,1,450.00,0.02,42900.00,0.13,31950.00,1.65,2100.00,0.11
60,Exit Long,SELL,2021-01-29 16:45,1288.0,1,450.00,0.02,42900.00,0.13,31950.00,1.65,2100.00,0.11
61,Entry Short,SELL,2021-01-29 16:45,1288.0,1,-3600.00,-0.19,39300.00,-1.05,4050.00,0.21,7200.00,0.37
61,Exit Short,BUY,2021-01-29 17:15,1290.4,1,-3600.00,-0.19,39300.00,-1.05,4050.00,0.21,7200.00,0.37
62,Entry Long,BUY,2021-01-29 17:15,1290.4,1,-6000.00,-0.31,33300.00,-1.77,2250.00,0.12,6600.00,0.34
62,Exit Long,INTRADAY_BExit,2021-01-29 17:45,1286.4,1,-6000.00,-0.31,33300.00,-1.77,2250.00,0.12,6600.00,0.34
63,Entry Long,BUY,2021-02-01 05:15,1295.6,1,-5850.00,-0.3,27450.00,-1.76,17850.00,0.92,9900.00,0.51
63,Exit Long,SELL,2021-02-01 07:30,1291.7,1,-5850.00,-0.3,27450.00,-1.76,17850.00,0.92,9900.00,0.51
64,Entry Short,SELL,2021-02-01 07:30,1291.7,1,-9150.00,-0.47,18300.00,-2.79,600.00,0.03,9300.00,0.48
64,Exit Short,BUY,2021-02-01 07:45,1297.8,1,-9150.00,-0.47,18300.00,-2.79,600.00,0.03,9300.00,0.48
65,Entry Long,BUY,2021-02-01 07:45,1297.8,1,-31050.00,-1.6,-12750.00,-9.75,0,0,41700.00,2.14
65,Exit Long,SELL,2021-02-01 08:00,1277.1,1,-31050.00,-1.6,-12750.00,-9.75,0,0,41700.00,2.14
66,Entry Short,SELL,2021-02-01 08:00,1277.1,1,-29250.00,-1.53,-42000.00,-10.18,6000.00,0.31,31350.00,1.64
66,Exit Short,BUY,2021-02-01 11:30,1296.6,1,-29250.00,-1.53,-42000.00,-10.18,6000.00,0.31,31350.00,1.64
67,Entry Long,BUY,2021-02-01 11:30,1296.6,1,-9750.00,-0.5,-51750.00,-3.78,4800.00,0.25,11400.00,0.59
67,Exit Long,SELL,2021-02-01 13:30,1290.1,1,-9750.00,-0.5,-51750.00,-3.78,4800.00,0.25,11400.00,0.59
68,Entry Short,SELL,2021-02-01 13:30,1290.1,1,-8250.00,-0.43,-60000.00,-3.32,1500.00,0.08,11100.00,0.57
68,Exit Short,BUY,2021-02-01 17:15,1295.6,1,-8250.00,-0.43,-60000.00,-3.32,1500.00,0.08,11100.00,0.57
69,Entry Long,BUY,2021-02-01 17:15,1295.6,1,-1650.00,-0.08,-61650.00,-0.69,600.00,0.03,2400.00,0.12
69,Exit Long,INTRADAY_BExit,2021-02-01 17:45,1294.5,1,-1650.00,-0.08,-61650.00,-0.69,600.00,0.03,2400.00,0.12
70,Entry Short,SELL,2021-02-02 04:15,1292.5,1,-2250.00,-0.12,-63900.00,-0.94,4050.00,0.21,6600.00,0.34
70,Exit Short,BUY,2021-02-02 05:45,1294.0,1,-2250.00,-0.12,-63900.00,-0.94,4050.00,0.21,6600.00,0.34
71,Entry Long,BUY,2021-02-02 05:45,1294.0,1,-7500.00,-0.39,-71400.00,-3.18,2700.00,0.14,11100.00,0.57
71,Exit Long,SELL,2021-02-02 06:30,1289.0,1,-7500.00,-0.39,-71400.00,-3.18,2700.00,0.14,11100.00,0.57
72,Entry Short,SELL,2021-02-02 06:30,1289.0,1,-6150.00,-0.32,-77550.00,-2.69,5550.00,0.29,8700.00,0.45
72,Exit Short,BUY,2021-02-02 10:00,1293.1,1,-6150.00,-0.32,-77550.00,-2.69,5550.00,0.29,8700.00,0.45
73,Entry Long,BUY,2021-02-02 10:00,1293.1,1,-5100.00,-0.26,-82650.00,-2.29,4350.00,0.22,8850.00,0.46
73,Exit Long,SELL,2021-02-02 14:15,1289.7,1,-5100.00,-0.26,-82650.00,-2.29,4350.00,0.22,8850.00,0.46
74,Entry Short,SELL,2021-02-02 14:15,1289.7,1,4650.00,0.24,-78000.00,2.14,9900.00,0.51,3000.00,0.16
74,Exit Short,INTRADAY_SExit,2021-02-02 17:45,1286.6,1,4650.00,0.24,-78000.00,2.14,9900.00,0.51,3000.00,0.16
75,Entry Long,BUY,2021-02-03 04:00,1281.0,1,1800.00,0.09,-76200.00,0.81,2100.00,0.11,450.00,0.02
75,Exit Long,SELL,2021-02-03 04:15,1282.2,1,1800.00,0.09,-76200.00,0.81,2100.00,0.11,450.00,0.02
76,Entry Short,SELL,2021-02-03 04:15,1282.2,1,-300.00,-0.02,-76500.00,-0.13,3750.00,0.19,750.00,0.04
76,Exit Short,BUY,2021-02-03 05:00,1282.4,1,-300.00,-0.02,-76500.00,-0.13,3750.00,0.19,750.00,0.04
77,Entry Long,BUY,2021-02-03 05:00,1282.4,1,-8850.00,-0.46,-85350.00,-3.96,2850.00,0.15,9300.00,0.48
77,Exit Long,SELL,2021-02-03 06:30,1276.5,1,-8850.00,-0.46,-85350.00,-3.96,2850.00,0.15,9300.00,0.48
78,Entry Short,SELL,2021-02-03 06:30,1276.5,1,-7350.00,-0.38,-92700.00,-3.42,1350.00,0.07,7500.00,0.39
78,Exit Short,BUY,2021-02-03 07:30,1281.4,1,-7350.00,-0.38,-92700.00,-3.42,1350.00,0.07,7500.00,0.39
79,Entry Long,BUY,2021-02-03 07:30,1281.4,1,0,0,-92700.00,0,12600.00,0.66,4350.00,0.23
79,Exit Long,SELL,2021-02-03 14:30,1281.4,1,0,0,-92700.00,0,12600.00,0.66,4350.00,0.23
80,Entry Short,SELL,2021-02-03 14:30,1281.4,1,-8400.00,-0.44,-101100.00,-4.05,1050.00,0.05,8400.00,0.44
80,Exit Short,BUY,2021-02-03 15:00,1287.0,1,-8400.00,-0.44,-101100.00,-4.05,1050.00,0.05,8400.00,0.44
81,Entry Long,BUY,2021-02-03 15:00,1287.0,1,-5100.00,-0.26,-106200.00,-2.56,2550.00,0.13,7050.00,0.37
81,Exit Long,INTRADAY_BExit,2021-02-03 17:45,1283.6,1,-5100.00,-0.26,-106200.00,-2.56,2550.00,0.13,7050.00,0.37
82,Entry Short,SELL,2021-02-04 05:15,1279.5,1,-4950.00,-0.26,-111150.00,-2.55,8100.00,0.42,4950.00,0.26
82,Exit Short,BUY,2021-02-04 06:15,1282.8,1,-4950.00,-0.26,-111150.00,-2.55,8100.00,0.42,4950.00,0.26
83,Entry Long,BUY,2021-02-04 06:15,1282.8,1,-2100.00,-0.11,-113250.00,-1.11,8550.00,0.44,2250.00,0.12
83,Exit Long,SELL,2021-02-04 10:15,1281.4,1,-2100.00,-0.11,-113250.00,-1.11,8550.00,0.44,2250.00,0.12
84,Entry Short,SELL,2021-02-04 10:15,1281.4,1,-4650.00,-0.24,-117900.00,-2.49,6600.00,0.34,7350.00,0.38
84,Exit Short,BUY,2021-02-04 16:45,1284.5,1,-4650.00,-0.24,-117900.00,-2.49,6600.00,0.34,7350.00,0.38
85,Entry Long,BUY,2021-02-04 16:45,1284.5,1,-3000.00,-0.16,-120900.00,-1.65,1500.00,0.08,5850.00,0.3
85,Exit Long,INTRADAY_BExit,2021-02-04 17:45,1282.5,1,-3000.00,-0.16,-120900.00,-1.65,1500.00,0.08,5850.00,0.3
86,Entry Long,BUY,2021-02-05 05:45,1296.8,1,28650.00,1.47,-92250.00,16,30150.00,1.55,0,0
86,Exit Long,INTRADAY_BExit,2021-02-05 17:45,1315.9,1,28650.00,1.47,-92250.00,16,30150.00,1.55,0,0
87,Entry Long,BUY,2021-02-08 04:00,1315.3,1,11550.00,0.59,-80700.00,5.56,15600.00,0.79,1650.00,0.08
87,Exit Long,INTRADAY_BExit,2021-02-08 17:45,1323.0,1,11550.00,0.59,-80700.00,5.56,15600.00,0.79,1650.00,0.08
88,Entry Long,BUY,2021-02-09 04:00,1336.6,1,-8100.00,-0.4,-88800.00,-3.69,6600.00,0.33,12600.00,0.63
88,Exit Long,SELL,2021-02-09 14:45,1331.2,1,-8100.00,-0.4,-88800.00,-3.69,6600.00,0.33,12600.00,0.63
89,Entry Short,SELL,2021-02-09 14:45,1331.2,1,-11400.00,-0.57,-100200.00,-5.4,1050.00,0.05,11400.00,0.57
89,Exit Short,BUY,2021-02-09 17:30,1338.8,1,-11400.00,-0.57,-100200.00,-5.4,1050.00,0.05,11400.00,0.57
90,Entry Long,BUY,2021-02-09 17:30,1338.8,1,-300.00,-0.01,-100500.00,-0.15,300.00,0.01,900.00,0.04
90,Exit Long,INTRADAY_BExit,2021-02-09 17:45,1338.6,1,-300.00,-0.01,-100500.00,-0.15,300.00,0.01,900.00,0.04
91,Entry Long,BUY,2021-02-10 06:00,1341.5,1,23550.00,1.17,-76950.00,11.8,26250.00,1.3,3000.00,0.15
91,Exit Long,INTRADAY_BExit,2021-02-10 17:45,1357.2,1,23550.00,1.17,-76950.00,11.8,26250.00,1.3,3000.00,0.15
92,Entry Long,BUY,2021-02-11 04:00,1351.6,1,1950.00,0.1,-75000.00,0.87,9150.00,0.45,2400.00,0.12
92,Exit Long,SELL,2021-02-11 15:00,1352.9,1,1950.00,0.1,-75000.00,0.87,9150.00,0.45,2400.00,0.12
93,Entry Short,SELL,2021-02-11 15:00,1352.9,1,5100.00,0.25,-69900.00,2.27,6450.00,0.32,6900.00,0.34
93,Exit Short,INTRADAY_SExit,2021-02-11 17:45,1349.5,1,5100.00,0.25,-69900.00,2.27,6450.00,0.32,6900.00,0.34
94,Entry Short,SELL,2021-02-12 04:00,1349.2,1,-3900.00,-0.19,-73800.00,-1.69,0,0,4350.00,0.21
94,Exit Short,BUY,2021-02-12 04:15,1351.8,1,-3900.00,-0.19,-73800.00,-1.69,0,0,4350.00,0.21
95,Entry Long,BUY,2021-02-12 04:15,1351.8,1,-3450.00,-0.17,-77250.00,-1.53,3300.00,0.16,5100.00,0.25
95,Exit Long,SELL,2021-02-12 07:45,1349.5,1,-3450.00,-0.17,-77250.00,-1.53,3300.00,0.16,5100.00,0.25
96,Entry Short,SELL,2021-02-12 07:45,1349.5,1,13800.00,0.68,-63450.00,6.2,36750.00,1.82,4950.00,0.24
96,Exit Short,BUY,2021-02-12 16:15,1340.3,1,13800.00,0.68,-63450.00,6.2,36750.00,1.82,4950.00,0.24
97,Entry Long,BUY,2021-02-12 16:15,1340.3,1,6150.00,0.31,-57300.00,2.6,15150.00,0.75,1500.00,0.07
97,Exit Long,INTRADAY_BExit,2021-02-12 17:45,1344.4,1,6150.00,0.31,-57300.00,2.6,15150.00,0.75,1500.00,0.07
98,Entry Long,BUY,2021-02-15 04:00,1358.0,1,-1200.00,-0.06,-58500.00,-0.49,6000.00,0.29,1350.00,0.07
98,Exit Long,SELL,2021-02-15 08:15,1357.2,1,-1200.00,-0.06,-58500.00,-0.49,6000.00,0.29,1350.00,0.07
99,Entry Short,SELL,2021-02-15 08:15,1357.2,1,11400.00,0.56,-47100.00,4.72,14700.00,0.72,2100.00,0.1
99,Exit Short,INTRADAY_SExit,2021-02-15 17:45,1349.6,1,11400.00,0.56,-47100.00,4.72,14700.00,0.72,2100.00,0.1
100,Entry Short,SELL,2021-02-16 04:00,1349.9,1,-150.00,-0.01,-47250.00,-0.06,8700.00,0.43,1050.00,0.05
100,Exit Short,BUY,2021-02-16 11:45,1350.0,1,-150.00,-0.01,-47250.00,-0.06,8700.00,0.43,1050.00,0.05
101,Entry Long,BUY,2021-02-16 11:45,1350.0,1,-7050.00,-0.35,-54300.00,-2.79,1800.00,0.09,8700.00,0.43
